Feature,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,buds
AVL9,YLR114C,32.54940354,32.72392528,32.84974479,32.95432355,32.9412617,32.92165891,32.97349417,33.7080293,33.52498808,32.21495064,29.78492516,25.84985764,4.984548465,5.022093604,5.069676497,5.153802054,5.350234216,5.207762002,5.086375038,4.970333387,5.0724756,4.762793239,4.184381026,3.183827666,35.2
RPL23A,YBL087C,1537.853028,1548.682245,1557.983197,1568.373707,1570.652869,1587.428902,1615.490085,1676.953262,1738.632516,1720.133926,1626.695855,1411.200182,1104.892379,1103.023179,1089.299449,1056.501251,981.5958441,915.9339382,886.1968369,848.6225141,764.092215,731.2507906,748.1980825,847.4810048,35.12790698
RPL16B,YNL069C,2462.232402,2466.294522,2466.87619,2469.568242,2457.811997,2487.49137,2508.678122,2480.544157,2509.257109,2489.803446,2422.641149,2275.746981,1304.596406,1324.787191,1350.380538,1387.689217,1446.099814,1467.693318,1487.186389,1492.58088,1482.971435,1472.944877,1448.092126,1401.371405,35.09677419
ATP3,YBR039W,214.7548535,221.2952202,230.6063837,240.2798151,260.4207658,259.9807243,252.306967,232.3720147,219.0060871,216.1830013,222.3646842,242.957826,390.7776244,377.2276645,356.1989324,323.2480912,267.5592895,214.2007808,186.5393907,171.1922931,169.9967342,149.6811312,133.6304595,124.3724953,35
QDR2,YIL121W,147.4621595,147.4424224,147.6558655,148.0260514,149.2150694,149.5750661,150.0421857,151.3572566,150.4036456,148.9811881,146.8292744,144.035363,3.990999348,4.042532697,4.175109365,4.419073006,4.862943451,5.536187086,6.19063166,6.808223054,7.111663911,6.8393954,6.02677878,4.513778145,34.6
STE24,YJR117W,51.86058319,50.8509867,50.09055496,49.63969504,50.47613536,50.58490881,50.30846407,49.21076078,46.69625285,46.02865331,46.78163169,50.29080537,43.08231966,43.79617343,44.72980229,46.10496159,48.26578019,49.566725,50.15590506,50.33079706,50.64531073,51.65796488,53.24365258,55.71011536,34.6
MSS116,YDR194C,56.80514679,55.77758878,53.95040206,51.6432395,47.32760408,45.11067757,42.68531556,38.58060558,40.32551622,41.28030878,42.79823209,44.3461903,15.78577028,15.46807673,15.35682667,15.43022482,15.79126242,18.06560365,19.55113084,20.66013659,19.94373911,19.6503392,19.53428179,20.06499376,34.3255814
RPL31A,YDL075W,3991.049728,4000.484084,4000.209173,3995.477989,3957.82207,3963.435381,3952.342309,3873.085424,3891.091991,3924.094397,3984.587477,4082.794029,140.6918464,141.5064413,144.2783585,149.4201733,158.3911152,176.6824207,199.4655756,217.6811072,208.7711822,202.7746369,208.5710126,239.6352579,34.27586207
TRP5,YGL026C,304.66178,302.8073715,300.3116747,297.6757626,292.4555198,292.0599761,292.9413611,295.7148276,296.3985015,297.1910039,298.0926147,299.3952202,2047.453757,2070.354623,2111.71246,2183.378666,2313.827005,2431.025435,2491.773202,2525.836826,2526.268831,2585.235772,2644.574713,2700.083255,34
MLP1,YKR095W,16.32899073,16.01148501,15.69301681,15.48286842,15.10619094,15.63261564,16.39983037,17.67473824,17.01814772,16.83341661,16.81941122,17.5257837,23.1552676,22.34722108,21.45280922,20.24568047,18.39874189,18.98193736,19.31561348,19.3497963,17.37746705,16.25790139,15.95776995,17.34007679,34
ADE16,YLR028C,122.2925497,117.2721505,113.0775086,109.5530956,109.1334558,107.3053961,107.7159965,113.175707,111.443654,116.815792,128.1277618,148.5339271,302.1763144,306.796997,313.5187378,323.5324446,338.9116334,353.8839625,361.2511026,361.2093901,341.0808946,335.851129,338.4381576,355.1876155,34
TUF1,YOR187W,121.2431695,123.0268354,126.0557626,129.0263882,137.7113911,132.9991438,127.2578764,128.7763603,118.6590215,105.8826384,89.11701598,67.99726829,174.3172199,175.1000145,176.0441476,177.3108085,178.5870852,180.9358244,180.3234748,178.3502449,173.5086837,170.0037826,170.3386098,178.0161921,34
