"Feature","Feature.Systematic.Name","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3","buds"
"SPC1","YJR010C-A",78.1839947,79.60299459,81.19683677,82.43984905,84.94842843,83.16988637,79.09311596,70.50914998,65.17454435,60.81358507,57.36210759,55.44363575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.84
"YAF9","YNL107W",24.19223985,24.68750566,25.25921316,25.87975093,26.81448636,27.09106328,27.29195909,27.44953081,29.45484372,31.06330004,32.62255499,33.64769161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.84
"PDC6","YGR087C",2.861580555,2.92495902,3.073639992,3.271099837,3.801164956,3.857172539,3.909505961,3.710955269,5.367108574,7.522011521,10.43664004,14.00180108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8372093023256
"DUG2","YBR281C",10.38638111,9.896844701,9.26492867,8.598805668,7.583374503,7.338119942,7.142136452,6.569903225,6.742031785,6.811546233,6.950258567,7.116736284,4.855411473,4.906776464,4.956929107,5.012280124,5.083522123,5.100935488,4.714942368,4.424407711,4.904127931,5.241053643,5.237246046,4.557812721,27.8
"YCR090C","YCR090C",60.59081981,61.26973902,62.13870983,63.16950972,64.90447779,65.89851609,65.79360999,62.23745328,62.96872089,64.60627271,67.17595748,70.63042809,1.888409281,1.871349852,1.797414219,1.576989854,1.085472753,1.05705432,1.431687346,2.123877627,3.26057647,3.572184793,3.176270907,1.64403161,27.8
"OST4","YDL232W",239.8874256,237.6623596,235.2123255,232.6124123,229.0030738,227.738724,228.0322163,230.8161344,230.619917,229.7646295,228.1207207,225.1572693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"YDL158C","YDL158C",43.6944986,44.18340673,44.7743745,45.25275998,46.5134282,45.66179054,45.08296717,45.55040368,48.71276327,51.13742789,53.91982777,56.4633434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"YDL012C","YDL012C",142.5157121,142.4798928,142.3535829,142.8949188,141.9584605,145.0935711,157.375096,193.7281086,230.3719707,236.9901982,216.5625485,147.8028058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"HSP31","YDR533C",84.39929106,89.79035201,98.341713,109.7004044,129.2078668,145.2800251,159.7532096,170.1431054,166.26562,166.6469874,167.2217966,172.9674768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"TIR1","YER011W",8.180005175,12.35579524,18.24614142,26.42338852,38.31017066,51.78299623,68.18938642,88.37965207,117.9615682,146.1351178,174.6918491,200.3745657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"NCS6","YGL211W",58.97609022,58.98162198,58.5564863,57.86257156,55.84269633,55.08981058,54.20207357,52.35984819,54.2624912,56.51874904,59.90875232,64.4919619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"KEX1","YGL203C",42.15163652,42.34900437,42.64249168,42.97897456,43.6657196,44.00819898,43.48128824,40.20251155,38.70551237,38.98883186,40.87599132,45.3005698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"LYS5","YGL154C",31.59629788,32.71990352,34.29669496,35.9848188,39.37725067,39.54448331,39.01641113,38.07131085,36.96187353,36.20900338,35.63722831,35.47103777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"SDS23","YGL056C",61.41311086,63.58575304,66.32844978,69.60638611,75.19495142,77.7465698,78.4953102,74.42406334,82.53757163,85.75897598,84.78039965,74.6065242,8.224677767,8.176421619,8.206007773,8.296369635,8.532919966,9.388402992,9.145698285,9.132303456,10.03387974,10.27273413,10.20436121,9.646733008,27.8
"DRN1","YGR093W",31.99662235,32.3423093,32.68116705,33.0482586,33.26573491,33.78474361,34.1003169,33.70180901,34.28724569,33.98413211,32.72791807,29.81150246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"SCW4","YGR279C",315.0180677,313.2017313,310.6357135,307.8906833,301.5852591,301.4887777,302.7193611,304.7564275,307.5509418,318.4069655,337.5672534,369.2955354,20.43677319,26.10784883,34.36529231,46.98044709,67.12122512,84.43138018,91.27704093,94.70375215,97.94840801,110.0028612,120.2316901,125.4006909,27.8
"YJL175W","YJL175W",14.59027111,13.82755953,12.99209835,12.24153727,11.14051632,11.23945196,12.43327807,16.51429278,17.42981166,17.43532197,16.51008855,14.44676032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"SEC72","YLR292C",91.7109259,91.57686334,91.37196923,91.11354923,90.91786909,90.77774782,89.51653458,84.30041084,82.46661937,84.13066147,89.56688661,100.9692688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"CUS2","YNL286W",30.13048111,30.29402492,30.53090295,30.77762478,31.25511779,31.2514014,30.88070854,29.7917095,28.36466787,29.1666043,32.06213015,38.54956398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"YVC1","YOR087W",18.64967854,17.18691108,15.59096824,14.03740677,12.00918541,11.61855153,11.85360716,13.00787433,12.04897063,11.23021435,10.20847092,9.047013581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"BRO1","YPL084W",22.88697519,22.69488048,22.53703756,22.45364169,22.49729542,22.66307929,23.08523641,24.58845975,23.6322199,21.94625457,19.26066951,15.50053394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8
"CHA1","YCL064C",8.011774071,7.975716325,7.917013874,7.901570792,7.652120183,8.052709126,8.714446473,9.819792767,10.49873311,10.91510856,11.0416413,10.72070302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7846153846154
"TAT1","YBR069C",5.921471143,6.257505558,6.689317773,7.301026991,7.913599631,9.325703345,11.02344669,13.0943182,14.20723373,14.47030248,13.73596786,11.64174852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7816091954023
"DEG1","YFL001W",34.11823736,34.56102877,34.79402179,34.88865261,34.26963059,34.27791691,33.69017449,31.10454513,31.85360977,31.11705144,29.06750658,24.44907004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7714285714286
"HOS2","YGL194C",11.98195053,11.96054198,11.97132429,11.93984622,12.21818401,11.73244098,10.98828046,9.929895375,8.756684449,7.872729344,7.26253232,7.209319945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7692307692308
"RED1","YLR263W",9.553534557,9.544020925,9.474109733,9.348052221,9.052127949,8.814183765,8.63256601,8.634789219,8.827654268,9.033129554,9.384964039,9.931203504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7625
"VMS1","YDR049W",21.36067429,21.50804491,21.48207345,21.27343676,20.6308153,19.87310912,18.94069573,17.79879282,17.76252542,18.03330364,18.95021363,20.78797999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7558139534884
"NIT3","YLR351C",126.9465504,125.0877715,122.7766149,119.8372379,115.5420328,111.1814093,108.2612321,109.8357986,108.7641818,109.8659219,113.546822,120.8466082,107.2877435,108.1130066,107.3356996,104.684497,97.65370206,85.97349377,80.60099806,77.42252899,81.64229696,78.33104013,73.75420216,67.57644936,27.75
