"Feature","Sum","dev","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3"
"RPL3",4.403342613739,-0.00906257714442243,0.692684849845021,0.642950582401822,0.547242391065268,0.406226791844251,0.123037962388156,-0.0623652310592009,-0.200577787893111,-0.0228701314447161,0.339761832295635,0.298555232173396,-0.0670698213284249,-1
"ECM14",5.34062614463965,-0.00921009076153286,-0.793002564155099,-0.722109331412267,-0.58274775032599,-0.411943797253305,0.0637447486693784,0.0430402852780523,0.106998118122052,0.132283018166242,0.660004659287698,0.881935867845212,0.727222203329711,-0.21559380079464
"BPL1",3.92130287278076,-0.000181656520573054,0.561798720443165,0.511983062713743,0.41977060835401,0.291728360607376,0.061353822115451,-0.219228436331524,-0.340541436485847,0.131792773387843,0.330793554662887,0.145226712294489,-0.186918757075683,-0.720166628308742
"TRX2",2.82969814371813,0.00376994618141796,-0.240269875935755,-0.166154620753528,-0.0618964970200934,0.0885826108737747,0.371670913077265,0.459091807972889,0.461202008485228,0.241399931932103,-0.0883416065549391,-0.269047452424,-0.259577152446142,0.122463666242411
"STE20",7.86925225770262,-0.0014423449427123,1,0.853738517277121,0.624897578795673,0.337309061578485,-0.182442949899454,-0.580411919237922,-0.777837053762127,-0.831636999836231,-0.712341573412468,-0.685521440703116,-0.651376207740516,-0.631738955459502
"SSP120",5.01163908018719,0.00447154180473745,-0.447607342117273,-0.417719830743258,-0.28789394683862,-0.0182352079228519,0.658211216333618,0.770868928056293,0.647864111987569,0.131519680041198,-0.434697512410921,-0.502386394009941,-0.269453755895625,0.425181153830017
"TOM22",4.76854533359985,-0.00722201124897054,-0.165782507177831,0.0237474834490098,0.235599153568752,0.481092980044474,0.855018086263486,0.805203919770289,0.628419052029069,0.179546317108693,-0.300215038969072,-0.521139336987843,-0.447167408904329,0.125614049327004
"ENO1",6.28134897578831,0.000756029012693188,1,0.838403207217127,0.665924979150168,0.470253014274942,0.211961982540341,0.185708606378225,0.246012128002859,0.518433025643327,0.0312333762422756,-0.424361288938249,-0.790860111623989,-0.898197255776811
"SFB3",5.12133812248248,-0.00480118698955205,1,0.806193545025962,0.581298213825021,0.315904759834174,-0.0362594847453969,-0.220546553923159,-0.179388987913672,0.037889698156968,-0.0842517240562433,-0.279109245308514,-0.580495909693369,-1
"PDB1",2.7975758644969,0.00824666314017042,0.442530452556647,0.323152744154461,0.219974615869217,0.114402529777364,0.149943302148541,-0.175534593029485,-0.307035480389995,-0.242421299576788,-0.180581088008366,0,-0.0614241905310059,-0.580575568455029
"TRM732",2.86427798838834,-0.0055212180309072,0.282014297649618,0.157682213695916,-0.00818750280792924,-0.20373921435707,-0.580668305081627,-0.295864131534625,-0.163629908348853,-0.141633953816819,0.246357325681691,0.402959601328317,0.377743741559829,-0.00379779252604295
"RGA2",5.4863050575344,-0.00625818361296477,0.898843297437758,0.75676563549542,0.597326345146278,0.385413278769686,0.111451586565646,0.0404478485720922,0.13561435964189,0.528101583444645,0.540037794317539,0.273618667324999,-0.218684660818447,-1
"FPR1",3.97179998543811,-0.000335687794167088,-0.607234596757988,-0.390034987409036,-0.157315299639612,0.11178724439686,0.460041099906792,0.395728874527656,0.259532218492922,-0.0672810242880899,-0.374317846578639,-0.478570959272194,-0.295749028585797,0.374206805582529
"MTR10",7.31903237654651,-0.00230957188869033,1,0.916816864979366,0.761493174872251,0.527508097658468,0.0831644781015021,-0.295034018927242,-0.529047320417336,-0.45641569321319,-0.536883669248613,-0.696952418113109,-0.788018023419375,-0.727698617596062
"GLO3",4.72645276599524,-0.00612679908331471,1,0.767030695303998,0.520753557647849,0.235419226506211,-0.0741512298080561,-0.153900383628687,-0.171589451669952,-0.0304081811007206,-0.0162329627472457,-0.222615984315683,-0.534351093266839,-1
"DPL1",4.59448019701918,-0.000392798682590643,0.746539532454873,0.61549658033923,0.444913655960325,0.206003654234224,-0.20441586993147,-0.345687534778291,-0.291369453084167,0.0897984620935255,0.328777152409959,0.189037183757824,-0.206928658543444,-0.925512459431845
"YRB2",6.06894859750129,-0.00384067597627972,-1,-0.919010851705068,-0.767685025363853,-0.580389198274792,-0.1391568649767,-0.0518057032595849,-0.128999886632416,0.047750121331699,0.187967642571212,0.47902450119298,0.770404625884067,0.996754176308917
"AAT1",8.01264920858918,-0.000772027903784439,-0.586039229009166,-0.587378773975071,-0.601032915330093,-0.648507915534156,-0.717138299548009,-0.897219397377532,-0.985309982255122,-0.928187334179259,-0.442412448471595,0.047862299313209,0.571560613595969,1
"VPS1",2.51062612486971,0.00029112655445778,0.437434875961708,0.264923388089493,0.122565042259987,-0.0211677356790592,0.0135924944950913,-0.236639601783483,-0.417933913966863,-0.341449085137842,-0.179462009912551,0.0157940971438081,0,-0.459663880439829
"BNA1",1.8098811269055,0.00836494125026347,0.121705697106078,0.016093846500894,-0.0337520939849681,-0.0578481934690103,0.0633905040570885,0.28630215421128,0.393873292662021,0.567068891590094,0.167902357161961,-0.00036259048410725,-0.0881531322403324,-0.013428373437668
"TAN1",5.81513937250881,-0.00277620440029063,1,0.745963039430396,0.470429931619991,0.139685013658489,-0.228224220948568,-0.424041542950995,-0.352794304096273,-0.268099339494166,-0.367970152513164,-0.520675101956458,-0.632809189877404,-0.664447535962911
"GTB1",7.51334925643191,-0.00550749382552297,0.833988150122392,0.721158664379363,0.610659117503342,0.527299591315481,0.427222238780647,0.547230630516864,0.752112471152496,0.966085671664739,0.45146673831166,-0.0686781956958953,-0.60744778698903,-1
"PDX1",1.07156502124262,-0.000802278041817513,0,-0.0461858216435421,-0.0571019630761538,-0.0464850259636194,0.0747720470060456,0.212756164938712,0.24298151351486,0.220540080304756,0.0148405459815675,-0.0685389354811938,-0.087362923332173,0
"CDC73",6.81516291283118,-0.00426331804529573,1,0.746225106770869,0.447524335568596,0.119569764318515,-0.313222286196138,-0.502337601934943,-0.623583791124392,-0.608268971540424,-0.69349030070943,-0.652083631330021,-0.586785803696818,-0.522071319641037
"YGR125W",5.43754844022562,-0.00120773068484017,0.477480619319368,0.363590529131667,0.204484853364766,-0.0059001786509438,-0.317881278739963,-0.783181886248177,-0.959174423695589,-0.921830414202847,-0.653895680780179,-0.316755222881614,0.0532968600202618,0.380076493190249
"PDA1",0.92373724507938,0.000771452313512779,0,-0.0156157727787882,0.000363338399050783,0.0423635621562954,0.202954384260948,0.190558875143173,0.145322667385585,0.222858269267192,-0.000980498525077533,0.0266855633954794,0,-0.0760343137677905
"POP2",5.19102639977846,-0.00014639633018172,0.628120732702147,0.487607513149957,0.301277888482884,0.0856858169620504,-0.161979315498382,-0.445709844993432,-0.756460095827549,-1,-0.433986912551049,0.00976950350206529,0.398502278274041,0.481926497834904
"YCH1",6.6588143902495,0.00921620938481495,0.849769781830314,0.788828883844523,0.71291557112977,0.61844346355788,0.490140975230733,0.27020687422136,0.220887539425433,0.288122681881563,-0.179194428604844,-0.560017381592266,-0.830679451826001,-0.849607357104811
"YIP5",2.97680449962776,-0.000590315513353994,-0.244208668496644,-0.21600719622583,-0.137622916297626,-0.0451636880390753,0.155286204984646,0.295572457170574,0.447677826643157,0.684031968712073,0.374618270590128,0.129211229339921,-0.100849663902576,-0.146554409225515
"NUP1",6.53415281927411,0.00126842637448735,-0.564565621634971,-0.528364043639958,-0.529745060724404,-0.569475434345092,-0.809174874000403,-0.700488879571143,-0.535213822490048,-0.364667446332723,0.0907852985759308,0.373879851947193,0.629433939269406,0.838358546742842
"PAT1",2.31399931394044,-0.00655856320671027,0.0185320262472964,-0.0778994800882636,-0.171246143571644,-0.254356034518356,-0.302646020956223,-0.342729829332177,-0.32536373520085,-0.129700146640287,0.13008952060154,0.278159511275549,0.283276865508252,0
"MRPL35",7.59361181508488,-0.00700437575884193,1,0.890474007538739,0.772019481168334,0.618299420159777,0.41336033906908,0.578370939223422,0.397826078310528,-0.00313613057647599,-0.361648885427603,-0.718087697749081,-0.949714632101594,-0.890674203760245
"YOL057W",7.57471430550579,0.0104006955533639,1,0.880764607555581,0.674153775358719,0.406895395705618,-0.178288131012452,-0.324279556256579,-0.475727731592842,-0.628443502658478,-0.843583558033047,-0.940222645098966,-0.842220680946061,-0.380134721287444
"CRH1",6.17527199917396,0.00873804015886954,0.554823885315758,0.58093491041192,0.578855318160929,0.562202933733385,0.420955126615272,0.505956004816597,0.518189332291362,0.643908765217941,0.306888582666607,-0.131163717571316,-0.561714964322315,-0.809678458050554
"DJP1",6.14740413103472,-0.00219186728698336,-0.2502208185357,-0.55298257274134,-0.705202776735276,-0.789566620791581,-0.539065182646854,0.586427759128228,0.601541358056988,0.314598986313803,-0.353531152168458,0.032994231454319,0.497170701024487,0.924101971437688
"OPI10",5.70127093308631,0.00470559737289809,0.780696355200572,0.675301777865606,0.558858483482066,0.42223077023491,0.239120827739651,0.162280750779546,0.150178602711911,0.320626071738533,-0.4202540300191,-0.885602470757657,-0.873491899000629,0.212628893556133
"SAC1",2.7115108117874,-0.00808657114958562,0.238799120302246,0.113647250343523,-0.0532985988782927,-0.231587618880266,-0.58561374823256,-0.425911077409314,-0.10378640717831,0.109461863589792,0.258126265273003,0.084744601251925,-0.159954235027255,-0.346580025420908
"PRO1",4.44015019937099,0.0058938919978173,0.305805271832322,0.427632286553572,0.494468992233844,0.506812451468167,0.416190813557071,0.19568505175599,-0.0430951373340318,-0.849522668448898,-0.271009210403992,-0.0420846810405741,-0.0934113724012554,-0.794432262341268
"GCV1",2.28069374702265,0.00422811218863652,0.145217523481625,0.113394314388151,0.0560037650824042,-0.0117832624050606,-0.133282145077794,-0.397748202746931,-0.467730055952961,-0.444428256117479,-0.281895386105803,-0.0853499217268675,0.00217530770951562,-0.141685606228056
