"Feature","Sum","dev","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","RLS","buds"
"RNR1",3.33147499924256,-0.00569972830139149,-0.157147847074858,-0.145935578999633,-0.129980650693327,-0.059891356743602,0,0.163148337859199,0.300390215756151,0.685677956590951,0.784210534657486,0.525981141432041,0.160152624479443,-0.218958754955868,"40,19,37,40,9,47,38,27,40,32,13,46,52,52,29,24,17,38,16,4,3,3,2,5,3,6,7,10,3,4,6,11,7,4,7,2,1,4,2,39,42,29,51,52,17,32,47,42,27,44,28,37,44,12,49,23,22,35,13,19,22,26,27,55",24.125
"OSH3",7.54741750020217,0.0113476804772768,1,0.923658554051655,0.789207888775182,0.603748015011408,0.292912992204301,-0.100389646768283,-0.484977768981398,-0.758484334633371,-0.869150538027145,-0.959545730216985,-0.737185741153028,-0.0281562903794142,"17,16,6,22,17,48,57,18,14,22,15,29,29,28,33,17,16,6,22,17,48,50,18,14,22",24.04
"ARG3",5.81540890659947,-0.00385145443270379,0.551939514476637,0.266243848167048,-0.028056266320872,-0.324416856723318,-0.620444694687717,-0.671515661242533,-0.688519368673953,-0.276717194044272,0.490291582272185,0.840488865286255,0.713059247111446,-0.343715807593238,"32,32,33,13,10",24
"BDF1",5.15209204347927,-0.00315463032537145,0.550388282822597,0.474564548906361,0.382635646931865,0.303771647735579,0.157710269437493,0.21634201768536,0.320154516480767,0.709598248615512,0.51358667234621,0.173612786694347,-0.349727405823182,-1,"39,35,8,22,16",24
"BNA3",4.52895784848822,-0.00393913253649077,0.660409525615638,0.485485276326652,0.260364063049802,0.00365726625072227,-0.419754701731299,-0.577918085587465,-0.613442525276701,-0.466864976020468,-0.112114674990726,0.148419823374405,0.357882475497892,0.422644454766455,"20,13,40,27,20",24
"DSD1",6.81511271279213,-0.00392677161391193,-0.253487394944653,-0.419819152623172,-0.564569994698591,-0.726545871881557,-0.921738293958509,-0.5317446141016,-0.230859144107602,0.550625759260029,0.734275400212913,0.650575188788134,0.581063656688655,0.649808241526713,"28,16,27,30,19",24
"LYS20",5.41619110629186,0.00737131226962696,-1,-0.845832241517276,-0.656197852533732,-0.389483285259945,-0.0353520065092671,0.324808048623387,0.464895865774881,0.463534737576173,0.403234555669322,0.320972478186902,0.25006064480639,0.261819389834587,"10,23,31,29,27",24
"MNN5",4.72038331343814,-0.00323623618863325,-0.0107042583180441,0.147882835231983,0.303753495112038,0.439470752530664,0.595707401320675,0.460062921154592,0.358890823815706,0.357403876809425,0.683188160683186,0.719054199320842,0.48651955111555,-0.157745038025434,"16,25,11,21,30,14,31,27,32,18,3,21,11,27,35,33,30,14,24,17,25,38,42,30,25",24
"PTC7",4.61299622120471,-0.00172990422839242,-0.673155264695421,-0.629056484507756,-0.513793185927192,-0.352660556565014,0.0940850725843988,0.255758713701163,0.180232647556235,-0.162302124574893,-0.346061909393166,-0.221872865696665,0.184017396002802,1,"36,36,13,20,15",24
"SPE3",6.65884906663331,-0.00469153246192628,-1,-0.877592972996307,-0.728392550295458,-0.52520717119948,-0.238996304832448,0.0631403647513059,0.299984346704323,0.0667526665323636,0.423958889141865,0.725305507863558,0.902438325822152,0.807079966494043,"30,23,29,22,16",24
