"Feature","buds","RLS","Sum","dev"
"PST1",28.4545454545455,"43,36,21,31,33,28,38,33,39,40,26,48,36,30,24,18,6,21,33,15,24,39,21,25,26,40,25,19,14,44,17,53,28,29,32,35,21,28,30,36,31,21,28,37,28,24,17,32,19,27,29,23,16,24,24",5.73341821090605,-0.00738244737223325
"CCC1",23.0352941176471,"25,34,28,36,31,38,19,25,37,20,35,27,35,19,38,25,4,26,17,26,26,26,33,36,13,38,7,21,30,16,41,34,13,32,28,17,43,12,24,29,13,17,22,12,26,23,15,27,31,35,14,24,22,20,23,24,30,22,32,19,12,3,21,19,25,24,8,22,18,11,20,17,20,12,13,28,27,2,20,29,21,17,24,11,19",5.10907107098093,-0.00736605082319473
"CYS3",16.8266666666667,"9,11,11,9,12,9,11,15,10,11,11,11,10,9,11,10,9,12,10,11,3,2,2,1,4,2,4,3,3,4,2,2,3,1,5,4,2,5,4,2,18,42,10,38,25,28,24,17,20,15,26,19,54,18,20,29,35,20,45,68,29,53,32,41,29,18,42,10,38,25,28,24,17,20,15",4.14909490049688,-0.00730179956221879
"TED1",24.2,"24,16,28,21,32",4.4103018975266,-0.0072815609743743
"REH1",25.8333333333333,"23,16,10,22,18,19,29,45,9,36,10,17,43,21,22,47,19,28,44,46,10,17,43,21,22,19,29,45,9,36",6.08132734130325,-0.00706065429060914
"POR1",10.3636363636364,"8,5,18,12,24,20,1,10,12,8,13,7,12,17,3,20,20,7,13,13,8,2,8,6,27,13,10,8,2,10,10,18,1,15,2,6,10,6,9,19,1,1,5,11,4,1,2,14,1,10,1,1,2,2,8,14,12,14,11,3,16,14,3,15,3,12,10,20,2,11,14,3,14,14,1,14,15,7,17,10,15,8,10,12,12,11,15,7,23,1,13,15,32,19,21,6,17,9,14,",0.786126813067745,-0.00701424784902253
"MRPL35",27.3777777777778,"22,13,19,29,27,32,29,31,32,23,21,20,23,20,35,36,39,36,38,30,36,50,25,32,25,17,42,33,11,17,38,9,31,15,34,44,12,21,40,33,21,15,25,40,11",7.59361181508488,-0.00700437575884193
"FCY2",23.8488372093023,"9,4,10,5,12,10,14,12,15,14,15,14,15,14,16,15,18,15,18,16,19,17,20,17,20,19,20,21,22,21,22,22,23,22,23,22,23,22,23,23,23,23,26,24,26,25,27,26,27,26,27,27,28,28,29,29,29,29,30,29,30,30,30,30,30,31,30,31,31,32,31,33,31,33,31,33,32,33,33,33,33,34,34,34,34,34,",5.73873182083751,-0.00688454141403168
"ORM1",32.2,"43,41,35,15,27",2.81511482135487,-0.00682942590091073
"GRS1",28.2982456140351,"33,16,36,40,40,16,49,18,27,34,14,36,43,34,36,36,23,33,35,49,1,41,20,44,18,32,20,44,42,33,32,20,33,24,21,12,18,16,27,30,7,27,14,23,11,36,25,30,34,32,21,23,26,21,34,27,46",2.8325689813287,-0.00680085489905181
"VMA6",3.75806451612903,"9,6,6,3,2,5,6,1,15,13,22,7,2,4,2,8,7,3,2,1,2,3,6,1,3,4,12,2,2,3,4,2,3,1,3,12,1,1,2,2,2,9,1,17,2,2,2,6,2,3,3,9,6,1,3,1,1,1,5,2,2,7,1,1,1,1,7,1,5,2,5,1,5,3,4,3,1,6,4,4,6,9,3,2,6,3,4,2,3,1,3,7,2,1,4,1,4,1,3,1,3,1,15,4,5,1,1,3,1,5,1,1,2,1,6,2,3,2,1,2,1,1,1,2,",3.82614363516849,-0.00678730344848097
"SSE1",26.96,"31,29,43,54,29,15,9,24,25,16,14,27,22,11,51,43,28,23,24,15,25,40,23,27,26",6.41813832253342,-0.00672505143344951
"CDC10",31.8,"30,39,28,31,31",5.14412416168207,-0.00671472096312129
"ADE2",32.8,"26,64,29,23,22",6.96490088479231,-0.00667968674623255
"NPT1",18.0666666666667,"19,16,29,18,19,14,12,22,24,8,16,11,18,23,22",6.21852842040904,-0.0066335981083745
"PAT1",18.2,"15,16,37,10,13",2.31399931394044,-0.00655856320671027
"GCN1",22.8,"29,21,26,17,21",5.88452635638653,-0.00643862447126968
"NUP170",9.7,"12,18,11,7,13,15,3,6,10,9,8,10,14,13,6,5,14,11,15,7,7,11,9,7,8,7,11,9,7,8",6.56828646848697,-0.00642909902246873
"PUT1",23.4,"18,30,18,24,27",5.78537513711006,-0.00629547084778826
"ADH4",31.3411764705882,"18,41,19,13,33,34,33,38,10,22,36,23,41,48,35,34,35,29,14,41,27,34,29,32,33,17,35,24,26,23,19,35,28,29,24,19,41,15,8,23,25,21,41,24,27,41,36,35,34,56,42,56,17,30,41,26,16,32,38,32,41,33,42,55,41,45,48,46,14,46,38,33,47,47,41,5,6,41,11,25,45,44,31,38,13",2.70189826689141,-0.00627744548946133
"RGA2",23.6,"32,19,19,21,27",5.4863050575344,-0.00625818361296477
"LAC1",27.5568181818182,"14,46,30,19,18,21,33,18,23,16,15,27,6,38,6,22,37,39,22,36,33,32,24,21,32,38,51,52,44,9,50,34,23,31,15,24,34,7,37,30,14,46,30,19,18,21,33,18,23,16,15,27,6,38,6,22,37,39,22,36,33,32,24,21,32,38,51,52,44,9,50,34,23,31,15,24,34,7,37,30,29,37,37,13,34,19,14,28",5.65008487129902,-0.00615007648696375
"GLO3",14.2,"21,19,8,13,10",4.72645276599524,-0.00612679908331471
"STE23",24.2,"20,24,19,14,31,44,36,25,27,27,17,16,25,19,19",4.5831724024859,-0.00608333627823769
"UFD4",32,"22,39,43,39,17",1.39434761392098,-0.00606326900377398
"MRPL7",22.4666666666667,"17,28,19,11,4,9,29,26,30,30,37,14,27,38,17,18,61,20,23,29,30,12,30,9,10,14,26,32,17,20,14,21,24,35,15,27,15,17,16,13,19,18,32,26,32",6.60010196912285,-0.00605082861408858
"SER33",33.4,"34,31,49,13,40",7.30064150323829,-0.00599949003618458
"GSH1",30.8307692307692,"33,39,25,4,47,38,43,24,14,41,33,3,22,41,39,12,5,15,34,36,26,23,41,45,13,24,39,21,33,49,52,26,42,40,25,43,25,47,22,48,40,28,48,53,39,11,32,40,17,24,43,20,37,25,31,39,15,38,49,42,25,36,19,11,10",4.48718914074814,-0.00598708037307102
"SPF1",24.8,"34,20,24,26,11,15,27,30,37,10,32,22,30,22,24,36,21,31,11,33,10,15,18,12,18,18,16,26,21,21,47,20,23,38,41,23,33,37,33,35,24,21,26,22,22",1.56415951044711,-0.00598022983799694
"GSC2",27.6,"50,30,26,27,5",3.49509502722851,-0.00597439220689092
"HSP30",18.6,"9,19,16,15,34",3.24226451373567,-0.00589989931252167
"UBP3",27.6615384615385,"16,32,51,31,18,30,31,14,28,38,18,45,10,28,37,32,37,14,23,34,38,16,25,25,25,34,29,40,17,5,20,17,27,25,35,58,49,24,45,34,20,10,26,27,37,26,50,22,30,32,21,38,6,42,18,29,13,15,11,49,24,27,26,21,23",4.35490641772409,-0.00587748986845522
"SSH1",16.4,"10,21,5,34,12",5.36259267877823,-0.00582306055302867
"CPR5",29.32,"26,27,40,25,27,24,28,22,22,20,29,26,36,39,23,43,24,52,43,29,19,14,24,24,47",3.32316747409236,-0.00581937217657261
"STE2",27,"28,33,24,28,22",3.56842670363431,-0.00581676912636477
"ECM33",17.8,"23,6,4,28,28",3.28483744369163,-0.00579101525414935
"ALO1",25.7555555555556,"45,10,33,36,50,35,35,19,48,17,3,31,28,20,16,32,45,1,17,33,22,18,35,41,26,16,17,21,14,24,24,14,26,28,19,24,29,17,29,14,27,27,30,25,38",5.29172016969842,-0.00574486947592722
"CUE5",21.4,"22,22,20,17,26",2.07156139360844,-0.00571421048230203
