"ORF","H7.8","H10.7","H14","H17.8","H22","H26.8","H32.2","H38.4","H45.4","H53.3","H62.2","H72.3"
"YOR355W",0.0178249432735515,0,0.000315618572695174,0.0361000488951119,0.103974388332866,0.272108774887536,0.518056436958873,0.991070980259605,1,0.988772793305401,0.91993039465261,0.861471151596408
"YIL094C",1,0.936237559133681,0.79149553214873,0.60844733857363,0.0797548534007898,0,0.0935055905337507,0.695385064101267,0.73913983630461,0.681730924873841,0.520697768390922,0.285694536856876
"YBL091C",1,0.910201989773902,0.804116301772977,0.69206744501066,0.521036869891936,0.465683903152518,0.466798432959484,0.60776851830514,0.464608839296716,0.321297053851413,0.154997126145859,0
"YOR202W",0.756363716939375,0.718943184575696,0.691892717859231,0.675203789142673,0.663564443592202,0.700734668178179,0.783646822180202,1,0.873292815540063,0.694924661265922,0.407064286289203,0
"YCR024C-B",1,0.887164251289205,0.739483868230261,0.560584131098331,0.261413800700726,0.0740173104732162,0,0.244204851247534,0.187570919332667,0.155649655932264,0.169475337390192,0.277586443439376
"YBR118W",1,0.92772392962774,0.828445531227967,0.714652758803052,0.519172444837682,0.442206347017299,0.41288173343016,0.437461023923307,0.615013576049016,0.604006237206009,0.446515563764906,0
"YHR025W",0.630143226636606,0.621008226133833,0.611409041753605,0.612780447443094,0.594774116837823,0.666058017244845,0.772675848716762,1,0.894246021649906,0.707750940644106,0.404706086235265,0
"YIL164C",0.890291840598238,0.803884950020372,0.696740863508166,0.559593828856754,0.375834633657554,0.158119346696611,0.00117931710588605,0,0.124466458181762,0.305997388989881,0.60300629325887,1
"YML001W",0.947485710608242,0.945262468740325,0.952074214093239,0.926079372926379,1,0.703489633014967,0.355838326204947,0,0.0102798862198034,0.0138963503077263,0.068437960202374,0.076228382761032
"YBR031W",0.525695479426558,0.44615411042982,0.34634109294855,0.253068008449112,0.0508352273750426,0.105510100157311,0.31208287426615,0.895429639145359,1,0.906075335324685,0.593601326256476,0
"YNL154C",1,0.938171927095423,0.858940426979403,0.773792992609058,0.628900797466626,0.596129801440211,0.58843958348594,0.61846817655647,0.535174170522396,0.41140299024459,0.235342618405879,0
"YLR359W",1,0.952727908976321,0.89661179780685,0.839585940244777,0.746100760639687,0.748929305588469,0.73481671472525,0.649767160798081,0.381466441058968,0.190803758661774,0.0347855701788155,0
"YLR029C",1,0.951976354260764,0.883316825169582,0.80949634008048,0.656902740264611,0.655726250596843,0.696501834674455,0.806903292727162,0.793653912546917,0.664635154348394,0.414868246517018,0
"YLR088W",0.069641867946233,0.0777951084555817,0.088256824059178,0.0927042866027812,0.108079160215681,0.0572097630252024,0.0262229605914617,0.138879369591292,0,0.0632936342511639,0.335304655458623,1
"YHL016C",0,0.0258642558940213,0.0718233889768553,0.13315447367226,0.260856409663712,0.335011722552467,0.357060275515996,0.198341248487361,0.218763247440727,0.355793225004979,0.602447220879081,1
"YEL009C",0.630191697195907,0.564586022841701,0.470829044023735,0.359027413159216,0.144251711367694,0.0645508615681387,0.0238984639018706,0.0516529149890564,0,0.110142361086426,0.401642359828093,1
"YEL021W",0.456978381315611,0.534587856496417,0.619514266534764,0.70774516190089,0.802028816934246,0.891513021419041,0.891387707342921,0.733991354759785,0.174108230478964,0,0.149453941668541,1
"YMR243C",1,0.959277982614535,0.89037185591138,0.79146939937383,0.62927715887034,0.462751220044702,0.276769626557767,0.037531663137524,0,0.0368194018313589,0.195960926849761,0.513006509718301
"YBL051C",0.727769161021019,0.710681982977472,0.662046446997357,0.578598443458788,0.417352098019051,0.229868520104487,0.0596217642070123,0.00112288294765012,0,0.116795575055504,0.418301803141816,1
