Feature,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,p7.8/t7.8,p10.7/t10.7,p14/t14,p17/8/t17.9,p22/t22,p26.8/t26.8,p32.2/t32.2,p38.4/t38/4,p45.5/t45.4,p53.3/t53/3,p62.2/t62.2,p72.3/t72.3,min p/t,max p/t,range p/t,max p/t / min p/t,,,buds
ARF2,YDL137W,449.40,454.82,466.08,479.59,513.39,516.78,509.38,481.22,452.40,449.50,465.36,511.95,41.05,42.02,43.90,47.04,52.64,58.86,61.91,64.97,68.82,78.37,86.25,89.46,0.09,0.09,0.09,0.10,0.10,0.11,0.12,0.14,0.15,0.17,0.19,0.17,0.09,0.19,0.09,2.03,,,29.00
HMF1,YER057C,395.52,393.98,392.05,389.22,384.96,379.54,373.42,364.99,360.81,365.60,379.39,405.76,277.76,258.23,235.27,204.49,165.86,138.67,135.06,155.18,220.95,241.19,220.54,127.76,0.70,0.66,0.60,0.53,0.43,0.37,0.36,0.43,0.61,0.66,0.58,0.31,0.31,0.70,0.39,2.23,,,29.00
DAL3,YIR032C,58.00,58.48,59.03,59.62,60.44,60.96,60.29,55.59,55.41,59.22,67.18,81.23,58.40,56.52,53.99,50.40,45.98,39.38,33.00,27.36,26.33,26.53,25.77,21.65,1.01,0.97,0.91,0.85,0.76,0.65,0.55,0.49,0.48,0.45,0.38,0.27,0.27,1.01,0.74,3.78,,,29.00
RPE1,YJL121C,149.45,149.63,149.87,149.80,150.19,148.25,145.99,142.47,144.45,147.76,153.23,160.49,11.96,11.95,12.33,13.11,14.43,19.06,21.33,23.90,25.64,28.01,34.05,46.75,0.08,0.08,0.08,0.09,0.10,0.13,0.15,0.17,0.18,0.19,0.22,0.29,0.08,0.29,0.21,3.65,,,28.84
ASN2,YGR124W,311.69,313.27,315.87,319.59,326.20,331.29,335.29,337.53,338.94,338.41,334.38,325.18,376.05,374.93,373.84,372.99,373.46,367.32,366.18,367.51,372.55,381.81,388.09,385.64,1.21,1.20,1.18,1.17,1.14,1.11,1.09,1.09,1.10,1.13,1.16,1.19,1.09,1.21,0.12,1.11,,,28.80
CCS1,YMR038C,113.57,114.75,115.67,117.06,116.66,122.20,127.14,127.67,128.53,126.78,122.00,113.83,112.78,110.46,106.26,98.94,86.00,75.29,62.41,52.63,54.67,58.88,74.31,106.40,0.99,0.96,0.92,0.85,0.74,0.62,0.49,0.41,0.43,0.46,0.61,0.93,0.41,0.99,0.58,2.41,,,28.80
RPB4,YJL140W,127.77,126.62,125.65,124.64,125.00,122.58,120.77,122.35,120.10,120.04,122.41,129.10,32.48,29.07,25.97,22.44,18.44,24.54,30.56,36.07,31.06,30.90,36.89,54.49,0.25,0.23,0.21,0.18,0.15,0.20,0.25,0.29,0.26,0.26,0.30,0.42,0.15,0.42,0.27,2.86,,,28.80
COG6,YNL041C,14.33,14.06,13.75,13.38,13.09,12.40,12.02,12.97,12.85,11.59,9.36,5.67,6.67,6.80,7.21,7.93,9.14,12.12,13.39,13.70,11.21,9.10,7.48,7.47,0.47,0.48,0.52,0.59,0.70,0.98,1.11,1.06,0.87,0.78,0.80,1.32,0.47,1.32,0.85,2.83,,,28.80
PET123,YOR158W,34.65,35.38,36.34,37.20,39.59,38.35,36.09,32.69,30.12,25.35,18.42,8.11,10.60,10.94,11.37,11.92,12.53,13.48,14.92,16.36,17.35,17.12,15.43,11.67,0.31,0.31,0.31,0.32,0.32,0.35,0.41,0.50,0.58,0.68,0.84,1.44,0.31,1.44,1.13,4.70,,,28.78
TCB3,YML072C,32.63,31.09,29.42,27.81,25.65,25.33,25.56,27.03,23.36,21.63,21.05,23.34,323.00,324.97,328.64,334.84,345.49,357.99,365.73,368.12,357.07,358.86,363.30,372.06,9.90,10.45,11.17,12.04,13.47,14.14,14.31,13.62,15.29,16.59,17.26,15.94,9.90,17.26,7.36,1.74,,,28.71
BLM10,YFL007W,11.74,11.70,11.95,12.33,13.94,13.79,12.93,10.36,9.69,11.08,14.45,20.60,4.72,4.84,5.06,5.44,6.20,6.61,6.32,5.82,5.50,5.38,5.34,5.36,0.40,0.41,0.42,0.44,0.44,0.48,0.49,0.56,0.57,0.49,0.37,0.26,0.26,0.57,0.31,2.18,,,28.70
PEX19,YDL065C,39.21,40.84,43.04,45.41,49.96,50.71,49.36,43.02,40.78,41.72,45.62,53.99,103.20,105.86,107.67,108.97,108.76,100.24,91.13,82.71,84.95,82.44,77.49,67.52,2.63,2.59,2.50,2.40,2.18,1.98,1.85,1.92,2.08,1.98,1.70,1.25,1.25,2.63,1.38,2.10,,,28.70
LPD1,YFL018C,141.35,139.38,138.56,138.13,141.68,139.58,137.53,139.50,126.07,118.48,113.70,115.99,505.71,505.09,503.53,502.17,503.61,484.19,448.88,412.11,397.93,377.07,354.28,325.95,3.58,3.62,3.63,3.64,3.55,3.47,3.26,2.95,3.16,3.18,3.12,2.81,2.81,3.64,0.83,1.29,,,28.66
BGL2,YGR282C,1083.71,1070.23,1055.83,1042.32,1025.56,1020.25,1029.54,1086.55,1079.46,1055.06,1009.59,939.89,790.03,768.14,733.41,676.22,577.56,474.07,459.08,515.10,712.24,789.86,736.31,441.38,0.73,0.72,0.69,0.65,0.56,0.46,0.45,0.47,0.66,0.75,0.73,0.47,0.45,0.75,0.30,1.68,,,28.60
NMA111,YNL123W,40.49,40.02,39.15,38.05,35.64,34.72,34.89,37.76,41.02,40.60,37.20,28.56,44.80,45.23,45.89,46.89,48.47,49.98,50.85,51.28,50.37,51.38,53.25,56.33,1.11,1.13,1.17,1.23,1.36,1.44,1.46,1.36,1.23,1.27,1.43,1.97,1.11,1.97,0.87,1.78,,,28.60
TRP2,YER090W,178.74,177.23,175.16,172.93,168.89,167.95,168.37,171.69,173.37,173.06,171.30,167.40,587.18,588.66,588.61,587.00,579.69,570.63,566.39,560.50,551.94,548.59,549.45,557.28,3.29,3.32,3.36,3.39,3.43,3.40,3.36,3.26,3.18,3.17,3.21,3.33,3.17,3.43,0.26,1.08,,,28.60
YNR040W,YNR040W,12.13,11.95,11.72,11.45,10.98,10.76,10.79,11.77,11.48,10.82,9.77,8.32,2.05,2.07,2.12,2.20,2.34,2.53,2.64,2.68,2.52,2.30,2.13,2.14,0.17,0.17,0.18,0.19,0.21,0.23,0.24,0.23,0.22,0.21,0.22,0.26,0.17,0.26,0.09,1.52,,,28.60
HIS4,YCL030C,708.21,705.28,703.12,701.65,702.06,702.86,704.62,710.24,698.79,689.30,678.37,668.37,3690.72,3701.79,3735.14,3803.99,3948.32,4062.05,4198.48,4301.75,4280.07,4296.09,4273.70,4194.35,5.21,5.25,5.31,5.42,5.62,5.78,5.96,6.06,6.12,6.23,6.30,6.28,5.21,6.30,1.09,1.21,,,28.59
ECM30,YLR436C,16.47,15.98,15.36,14.80,13.79,13.83,14.64,18.09,17.91,15.95,11.99,5.49,0.48,0.52,0.58,0.67,0.79,0.92,0.92,0.90,0.94,1.04,1.16,1.31,0.03,0.03,0.04,0.04,0.06,0.07,0.06,0.05,0.05,0.07,0.10,0.24,0.03,0.24,0.21,8.23,,,28.56
SHM1,YBR263W,158.21,159.27,160.62,162.15,164.54,165.78,166.34,165.24,166.62,167.80,168.75,168.99,605.75,607.40,606.64,602.72,589.85,581.31,568.03,554.06,545.92,533.00,527.54,537.69,3.83,3.81,3.78,3.72,3.58,3.51,3.41,3.35,3.28,3.18,3.13,3.18,3.13,3.83,0.70,1.22,,,28.53
VPS27,YNR006W,28.48,28.31,28.03,27.72,27.15,26.41,26.98,32.42,35.55,34.80,30.53,20.47,34.87,33.83,33.23,32.88,32.87,39.21,42.39,43.32,36.03,30.14,26.32,27.89,1.22,1.20,1.19,1.19,1.21,1.48,1.57,1.34,1.01,0.87,0.86,1.36,0.86,1.57,0.71,1.82,,,28.53
ERG6,YML008C,188.32,194.47,202.50,213.41,229.34,247.22,262.40,265.40,288.31,299.41,298.69,276.21,999.64,1009.23,1015.90,1020.00,1013.55,999.60,983.60,959.96,927.54,921.28,952.42,1046.21,5.31,5.19,5.02,4.78,4.42,4.04,3.75,3.62,3.22,3.08,3.19,3.79,3.08,5.31,2.23,1.73,,,28.53
PST1,YDR055W,155.89,153.39,150.85,149.11,147.01,148.85,155.41,178.89,178.22,166.00,140.65,98.82,48.30,53.14,57.92,63.53,71.08,63.41,66.35,76.67,109.47,130.39,132.53,99.07,0.31,0.35,0.38,0.43,0.48,0.43,0.43,0.43,0.61,0.79,0.94,1.00,0.31,1.00,0.69,3.24,,,28.45
HIS1,YER055C,955.14,948.29,939.34,928.65,911.87,901.29,891.56,883.33,866.42,860.84,866.77,893.50,400.18,402.74,406.79,413.13,422.52,433.15,447.34,459.44,459.21,454.81,441.33,415.23,0.42,0.42,0.43,0.44,0.46,0.48,0.50,0.52,0.53,0.53,0.51,0.46,0.42,0.53,0.11,1.26,,,28.40
YFR006W,YFR006W,29.29,29.58,30.19,31.04,33.25,34.02,33.76,30.35,30.68,32.26,35.12,39.48,58.10,55.28,51.61,46.26,37.52,33.58,32.51,32.87,31.87,29.76,28.94,30.87,1.98,1.87,1.71,1.49,1.13,0.99,0.96,1.08,1.04,0.92,0.82,0.78,0.78,1.98,1.20,2.54,,,28.40
AVT1,YJR001W,55.72,53.19,50.03,46.23,40.94,36.00,32.83,35.15,34.44,33.11,31.81,30.15,4.92,4.96,4.90,4.71,4.30,3.30,3.08,3.21,3.93,3.78,3.04,1.29,0.09,0.09,0.10,0.10,0.11,0.09,0.09,0.09,0.11,0.11,0.10,0.04,0.04,0.11,0.07,2.67,,,28.36
YCF1,YDR135C,20.66,20.09,19.41,18.78,17.67,17.86,18.35,19.24,18.94,18.87,18.88,19.28,61.98,64.64,68.81,75.73,88.49,94.02,92.86,91.57,97.34,103.28,103.42,91.60,3.00,3.22,3.54,4.03,5.01,5.27,5.06,4.76,5.14,5.47,5.48,4.75,3.00,5.48,2.48,1.83,,,28.33
GRS1,YBR121C,282.77,283.13,282.78,282.43,279.75,281.54,281.23,272.84,276.11,271.36,258.59,231.46,1995.09,2008.36,2010.81,1998.59,1944.23,1893.83,1850.86,1797.23,1719.93,1639.41,1590.85,1608.19,7.06,7.09,7.11,7.08,6.95,6.73,6.58,6.59,6.23,6.04,6.15,6.95,6.04,7.11,1.07,1.18,,,28.30
SHM2,YLR058C,2953.82,2921.48,2880.30,2835.21,2759.94,2742.47,2729.24,2706.63,2622.69,2545.76,2466.95,2404.66,21478.66,21411.48,21279.96,21060.88,20665.00,20153.54,19946.23,19756.48,19446.44,19204.00,19281.46,19902.80,7.27,7.33,7.39,7.43,7.49,7.35,7.31,7.30,7.41,7.54,7.82,8.28,7.27,8.28,1.01,1.14,,,28.28
ECM32,YER176W,23.21,23.09,23.03,23.09,23.24,23.84,24.53,25.27,25.15,24.98,24.60,24.14,2.46,2.47,2.50,2.56,2.72,2.80,2.79,2.72,2.64,2.79,2.92,2.96,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.02,1.17,,,28.23
VPS60,YDR486C,58.31,59.38,61.15,62.93,67.54,66.45,63.17,55.82,50.02,50.27,56.09,70.95,14.86,13.62,12.41,10.96,9.39,9.93,10.90,13.02,16.54,17.07,14.89,8.30,0.25,0.23,0.20,0.17,0.14,0.15,0.17,0.23,0.33,0.34,0.27,0.12,0.12,0.34,0.22,2.90,,,28.22
CLU1,YMR012W,57.45,56.05,54.08,51.93,47.66,47.07,47.37,49.37,48.48,48.40,49.15,51.96,353.50,355.30,361.78,374.91,401.45,434.74,456.22,473.15,476.21,504.61,545.60,605.08,6.15,6.34,6.69,7.22,8.42,9.24,9.63,9.58,9.82,10.43,11.10,11.65,6.15,11.65,5.49,1.89,,,28.22
IMD4,YML056C,245.71,243.81,238.97,232.59,216.02,212.42,212.41,219.16,228.47,223.74,207.67,172.79,12.12,12.78,13.57,14.63,15.93,17.51,16.92,15.91,15.98,16.80,16.97,15.88,0.05,0.05,0.06,0.06,0.07,0.08,0.08,0.07,0.07,0.08,0.08,0.09,0.05,0.09,0.04,1.86,,,28.20
PFK2,YMR205C,304.02,298.81,291.89,283.96,270.32,263.95,261.92,271.10,271.46,267.74,260.63,248.36,2135.53,2175.90,2241.79,2350.41,2539.96,2688.73,2775.73,2836.62,2870.81,2884.83,2810.80,2595.20,7.02,7.28,7.68,8.28,9.40,10.19,10.60,10.46,10.58,10.77,10.78,10.45,7.02,10.78,3.76,1.54,,,28.20
PRS3,YHL011C,208.73,210.80,212.51,214.39,214.69,218.56,220.93,217.88,219.95,215.44,204.32,182.95,68.71,67.29,66.00,64.66,63.42,65.09,68.40,71.08,66.66,63.86,66.59,79.82,0.33,0.32,0.31,0.30,0.30,0.30,0.31,0.33,0.30,0.30,0.33,0.44,0.30,0.44,0.14,1.48,,,28.20
TAN1,YGL232W,53.51,53.25,52.65,51.60,49.92,47.51,44.87,41.86,41.06,40.06,39.53,39.36,0.66,0.76,0.86,0.96,1.07,1.08,0.97,0.84,0.86,0.90,0.93,0.94,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,1.95,,,28.20
NUP2,YLR335W,63.26,63.10,62.70,62.15,60.96,60.26,59.55,58.65,59.65,60.83,62.67,65.21,184.25,172.46,159.01,140.51,113.32,113.36,111.56,107.87,79.91,54.37,34.34,28.55,2.91,2.73,2.54,2.26,1.86,1.88,1.87,1.84,1.34,0.89,0.55,0.44,0.44,2.91,2.47,6.65,,,28.20
PBY1,YBR094W,15.63,15.35,14.96,14.50,13.78,13.26,12.99,13.70,13.16,12.44,11.59,10.76,2.84,2.69,2.70,2.87,3.41,4.71,5.49,6.10,5.99,6.70,7.91,9.97,0.18,0.18,0.18,0.20,0.25,0.35,0.42,0.45,0.46,0.54,0.68,0.93,0.18,0.93,0.75,5.28,,,28.20
HSM3,YBR272C,13.01,12.77,12.64,12.60,12.94,13.07,13.42,14.52,14.04,13.25,11.94,10.04,1.68,1.74,1.82,1.91,2.03,2.12,1.92,1.78,2.11,2.54,2.81,2.67,0.13,0.14,0.14,0.15,0.16,0.16,0.14,0.12,0.15,0.19,0.24,0.27,0.12,0.27,0.14,2.17,,,28.20
MON2,YNL297C,9.64,9.59,9.56,9.57,9.62,9.73,9.83,10.00,9.75,9.39,8.81,8.00,3.72,3.81,3.98,4.28,4.90,5.26,5.43,5.40,5.03,4.83,4.76,4.94,0.39,0.40,0.42,0.45,0.51,0.54,0.55,0.54,0.52,0.51,0.54,0.62,0.39,0.62,0.23,1.60,,,28.20
ABP1,YCR088W,68.51,64.76,61.01,57.44,53.85,52.34,52.79,58.34,52.54,48.67,45.30,44.34,1172.63,1044.85,898.77,704.82,439.20,356.80,341.13,385.22,409.14,408.50,406.05,398.32,17.12,16.14,14.73,12.27,8.16,6.82,6.46,6.60,7.79,8.39,8.96,8.98,6.46,17.12,10.66,2.65,,,28.19
AIM9,YER080W,31.66,30.36,29.20,28.19,27.74,27.42,27.39,28.46,24.07,21.11,18.75,18.48,199.66,203.89,208.08,212.89,218.33,218.01,207.89,194.23,185.22,178.58,174.55,174.68,6.31,6.71,7.13,7.55,7.87,7.95,7.59,6.83,7.70,8.46,9.31,9.45,6.31,9.45,3.14,1.50,,,28.18
MRPS35,YGR165W,26.97,26.26,25.36,24.34,22.88,22.03,20.93,19.04,16.10,15.00,15.64,19.56,10.89,11.36,11.81,12.22,12.22,12.87,12.91,13.01,13.66,14.40,14.87,14.84,0.40,0.43,0.47,0.50,0.53,0.58,0.62,0.68,0.85,0.96,0.95,0.76,0.40,0.96,0.56,2.38,,,28.13
AMD1,YML035C,29.01,27.62,26.11,24.70,22.86,22.76,23.46,26.24,23.67,21.50,19.15,17.65,13.91,14.18,14.31,14.26,13.84,12.62,11.77,10.92,10.02,9.44,9.06,8.78,0.48,0.51,0.55,0.58,0.61,0.55,0.50,0.42,0.42,0.44,0.47,0.50,0.42,0.61,0.19,1.46,,,28.07
MAF1,YDR005C,50.64,49.96,49.33,48.44,48.31,45.27,42.01,40.16,36.61,33.82,31.46,29.70,4.39,4.60,4.71,4.75,4.64,3.51,2.59,1.84,2.16,2.49,3.26,4.57,0.09,0.09,0.10,0.10,0.10,0.08,0.06,0.05,0.06,0.07,0.10,0.15,0.05,0.15,0.11,3.36,,,28.03
HOS3,YPL116W,17.05,17.22,17.64,18.20,19.56,19.78,20.48,23.73,23.01,21.57,19.05,15.44,6.56,6.66,6.81,7.01,7.24,7.94,8.42,8.68,8.20,8.20,8.91,10.94,0.38,0.39,0.39,0.39,0.37,0.40,0.41,0.37,0.36,0.38,0.47,0.71,0.36,0.71,0.35,1.99,,,28.00
UBP14,YBR058C,30.29,29.99,29.58,29.14,28.32,28.14,27.89,27.32,25.74,25.54,26.57,29.96,9.80,9.70,9.68,9.75,9.98,10.60,11.04,11.52,11.88,12.43,12.66,12.30,0.32,0.32,0.33,0.33,0.35,0.38,0.40,0.42,0.46,0.49,0.48,0.41,0.32,0.49,0.16,1.50,,,28.00
VAN1,YML115C,54.77,55.41,56.22,57.22,58.73,60.02,61.24,62.17,63.71,64.67,65.16,64.92,14.47,14.31,13.93,13.20,11.80,10.38,8.93,8.08,9.38,10.19,10.38,9.22,0.26,0.26,0.25,0.23,0.20,0.17,0.15,0.13,0.15,0.16,0.16,0.14,0.13,0.26,0.13,2.03,,,27.92
HMG2,YLR450W,20.46,20.32,20.46,20.61,21.98,20.93,19.67,18.65,17.33,17.13,17.87,19.88,15.77,16.44,17.50,19.19,22.03,24.74,26.23,26.53,23.83,22.68,22.44,24.09,0.77,0.81,0.86,0.93,1.00,1.18,1.33,1.42,1.38,1.32,1.26,1.21,0.77,1.42,0.65,1.85,,,27.91
SSO1,YPL232W,123.36,127.28,132.83,139.71,151.56,158.54,162.83,161.78,161.35,161.41,160.19,157.77,13.76,13.11,12.49,11.78,11.03,11.53,12.29,12.95,11.87,10.71,9.67,9.14,0.11,0.10,0.09,0.08,0.07,0.07,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.11,0.05,1.92,,,27.89
RPS6A,YPL090C,1550.99,1555.97,1558.55,1560.33,1555.74,1558.67,1552.26,1516.36,1525.21,1508.97,1469.99,1389.94,4737.42,4786.31,4834.86,4889.86,4943.69,4933.29,5031.24,5097.50,5041.94,4973.72,4901.10,4848.89,3.05,3.08,3.10,3.13,3.18,3.17,3.24,3.36,3.31,3.30,3.33,3.49,3.05,3.49,0.43,1.14,,,27.86
MRPL15,YLR312W-A,37.50,37.32,36.67,35.41,33.06,29.98,26.75,23.28,24.57,24.68,24.65,23.13,6.20,6.33,6.44,6.53,6.49,6.68,6.60,6.26,5.42,4.79,4.71,5.71,0.17,0.17,0.18,0.18,0.20,0.22,0.25,0.27,0.22,0.19,0.19,0.25,0.17,0.27,0.10,1.63,,,27.86
ATP4,YPL078C,244.85,249.98,258.36,266.66,288.01,281.51,267.31,243.42,222.08,213.81,216.09,234.93,478.66,483.72,488.01,491.17,493.17,488.60,476.11,465.95,471.36,453.54,426.97,389.11,1.95,1.94,1.89,1.84,1.71,1.74,1.78,1.91,2.12,2.12,1.98,1.66,1.66,2.12,0.47,1.28,,,27.85
SCW4,YGR279C,315.02,313.20,310.64,307.89,301.59,301.49,302.72,304.76,307.55,318.41,337.57,369.30,20.44,26.11,34.37,46.98,67.12,84.43,91.28,94.70,97.95,110.00,120.23,125.40,0.06,0.08,0.11,0.15,0.22,0.28,0.30,0.31,0.32,0.35,0.36,0.34,0.06,0.36,0.29,5.49,,,27.80
SDS23,YGL056C,61.41,63.59,66.33,69.61,75.19,77.75,78.50,74.42,82.54,85.76,84.78,74.61,8.22,8.18,8.21,8.30,8.53,9.39,9.15,9.13,10.03,10.27,10.20,9.65,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.13,0.02,1.18,,,27.80
YCR090C,YCR090C,60.59,61.27,62.14,63.17,64.90,65.90,65.79,62.24,62.97,64.61,67.18,70.63,1.89,1.87,1.80,1.58,1.09,1.06,1.43,2.12,3.26,3.57,3.18,1.64,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.05,0.06,0.05,0.02,0.02,0.06,0.04,3.45,,,27.80
DUG2,YBR281C,10.39,9.90,9.26,8.60,7.58,7.34,7.14,6.57,6.74,6.81,6.95,7.12,4.86,4.91,4.96,5.01,5.08,5.10,4.71,4.42,4.90,5.24,5.24,4.56,0.47,0.50,0.54,0.58,0.67,0.70,0.66,0.67,0.73,0.77,0.75,0.64,0.47,0.77,0.30,1.65,,,27.80
NIT3,YLR351C,126.95,125.09,122.78,119.84,115.54,111.18,108.26,109.84,108.76,109.87,113.55,120.85,107.29,108.11,107.34,104.68,97.65,85.97,80.60,77.42,81.64,78.33,73.75,67.58,0.85,0.86,0.87,0.87,0.85,0.77,0.74,0.70,0.75,0.71,0.65,0.56,0.56,0.87,0.32,1.56,,,27.75
PET10,YKR046C,97.34,98.65,102.58,107.76,121.53,124.21,125.07,121.76,122.36,127.63,135.64,145.66,200.27,204.37,205.04,201.93,190.26,162.30,139.71,119.77,119.98,116.59,110.40,96.31,2.06,2.07,2.00,1.87,1.57,1.31,1.12,0.98,0.98,0.91,0.81,0.66,0.66,2.07,1.41,3.13,,,27.74
PHO91,YNR013C,45.75,44.62,42.99,41.09,37.54,36.19,35.93,38.40,38.94,39.32,40.01,41.45,14.25,14.32,14.40,14.50,14.73,14.78,14.50,13.91,12.71,11.47,10.89,11.63,0.31,0.32,0.33,0.35,0.39,0.41,0.40,0.36,0.33,0.29,0.27,0.28,0.27,0.41,0.14,1.50,,,27.72
MNN11,YJL183W,63.77,64.56,65.50,66.54,68.04,68.97,69.26,67.72,68.12,70.06,73.68,79.94,12.11,12.13,12.30,12.68,13.47,14.44,15.89,17.09,16.52,16.05,15.40,14.70,0.19,0.19,0.19,0.19,0.20,0.21,0.23,0.25,0.24,0.23,0.21,0.18,0.18,0.25,0.07,1.37,,,27.67
UBP3,YER151C,37.26,36.99,36.51,35.79,34.56,33.19,32.20,32.48,33.52,35.05,37.70,41.81,58.07,57.42,56.61,55.33,53.20,53.95,51.07,48.42,48.17,49.29,49.83,48.91,1.56,1.55,1.55,1.55,1.54,1.63,1.59,1.49,1.44,1.41,1.32,1.17,1.17,1.63,0.46,1.39,,,27.66
DOT5,YIL010W,58.00,58.02,58.99,60.22,65.04,63.89,63.14,66.84,61.84,58.50,55.86,55.55,56.10,56.93,57.87,58.96,59.76,62.24,66.09,68.20,62.64,56.28,52.49,55.21,0.97,0.98,0.98,0.98,0.92,0.97,1.05,1.02,1.01,0.96,0.94,0.99,0.92,1.05,0.13,1.14,,,27.66
GSC2,YGR032W,15.86,19.24,24.23,30.60,41.97,48.78,54.11,56.07,61.64,70.04,80.89,95.28,45.86,47.97,50.96,55.58,63.35,67.62,68.21,66.59,63.15,62.09,59.32,53.47,2.89,2.49,2.10,1.82,1.51,1.39,1.26,1.19,1.02,0.89,0.73,0.56,0.56,2.89,2.33,5.15,,,27.60
YLR179C,YLR179C,705.68,702.47,697.67,691.86,679.32,675.41,676.98,691.77,697.11,703.28,711.58,723.40,397.55,377.27,348.88,306.83,245.17,180.08,145.22,127.35,140.75,145.51,160.58,185.49,0.56,0.54,0.50,0.44,0.36,0.27,0.21,0.18,0.20,0.21,0.23,0.26,0.18,0.56,0.38,3.06,,,27.60
YOR283W,YOR283W,145.50,146.45,146.55,146.04,142.70,141.38,141.83,147.23,155.28,158.11,157.96,152.23,30.56,30.73,30.78,30.66,29.50,30.05,30.62,31.25,30.77,30.45,31.29,34.55,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.20,0.19,0.20,0.23,0.19,0.23,0.03,1.18,,,27.60
GUP1,YGL084C,24.93,24.13,23.39,22.65,22.28,21.32,20.57,21.24,18.73,16.88,15.27,14.59,2.72,2.74,2.80,2.93,3.22,3.47,3.38,3.22,3.10,3.17,3.12,2.83,0.11,0.11,0.12,0.13,0.14,0.16,0.16,0.15,0.17,0.19,0.20,0.19,0.11,0.20,0.10,1.87,,,27.60
MSC6,YOR354C,20.56,20.55,20.49,20.46,20.44,20.47,20.59,21.40,20.82,19.44,17.29,14.41,15.88,16.10,16.34,16.67,17.10,17.33,16.02,14.68,15.05,16.25,17.16,17.14,0.77,0.78,0.80,0.82,0.84,0.85,0.78,0.69,0.72,0.84,0.99,1.19,0.69,1.19,0.50,1.73,,,27.60
FAA3,YIL009W,11.91,12.05,12.23,12.43,12.84,12.90,12.88,12.89,12.87,12.49,11.78,10.58,6.83,7.00,7.24,7.62,8.17,8.98,9.30,9.62,9.94,9.47,8.76,7.88,0.57,0.58,0.59,0.61,0.64,0.70,0.72,0.75,0.77,0.76,0.74,0.74,0.57,0.77,0.20,1.35,,,27.60
LAC1,YKL008C,113.04,112.32,110.98,108.99,104.99,101.81,100.46,104.22,108.70,109.82,108.85,103.33,12.42,12.43,12.42,12.46,12.73,11.87,11.53,11.54,12.19,12.83,14.82,18.90,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.14,0.18,0.11,0.18,0.07,1.66,,,27.56
RTG2,YGL252C,52.70,53.59,54.72,55.63,57.83,56.00,53.87,52.73,53.15,53.97,55.77,58.49,47.12,48.50,49.47,50.07,49.67,45.26,46.14,48.00,49.77,47.85,44.92,40.69,0.89,0.90,0.90,0.90,0.86,0.81,0.86,0.91,0.94,0.89,0.81,0.70,0.70,0.94,0.24,1.35,,,27.52
IKI3,YLR384C,43.37,43.81,44.17,44.54,44.58,45.27,45.30,42.94,44.01,43.83,42.48,38.79,33.13,33.64,34.41,35.54,36.96,40.10,41.54,41.85,39.22,37.37,36.15,36.80,0.76,0.77,0.78,0.80,0.83,0.89,0.92,0.97,0.89,0.85,0.85,0.95,0.76,0.97,0.21,1.28,,,27.50
ATP5,YDR298C,229.77,229.53,230.64,231.67,238.54,234.53,225.64,205.90,187.81,185.49,197.13,231.62,510.74,505.21,494.98,479.12,456.56,404.56,400.30,413.68,460.75,428.57,357.59,228.57,2.22,2.20,2.15,2.07,1.91,1.72,1.77,2.01,2.45,2.31,1.81,0.99,0.99,2.45,1.47,2.49,,,27.48
ERG4,YGL012W,151.76,153.69,156.49,159.85,165.91,168.24,170.34,173.51,177.08,179.32,179.92,177.46,28.82,28.63,28.78,29.39,30.97,33.02,34.35,35.72,36.92,38.69,39.31,37.74,0.19,0.19,0.18,0.18,0.19,0.20,0.20,0.21,0.21,0.22,0.22,0.21,0.18,0.22,0.03,1.19,,,27.42
YPL225W,YPL225W,290.50,293.94,301.43,310.81,334.50,339.54,336.68,317.42,289.92,281.33,286.16,316.51,136.30,131.79,127.50,122.30,117.51,118.00,129.86,148.78,170.02,167.83,145.23,90.89,0.47,0.45,0.42,0.39,0.35,0.35,0.39,0.47,0.59,0.60,0.51,0.29,0.29,0.60,0.31,2.08,,,27.40
HAL5,YJL165C,29.00,31.03,33.97,38.15,44.23,51.30,59.11,69.57,73.22,74.51,72.08,65.32,13.37,13.02,12.76,12.56,12.69,13.01,12.68,12.13,10.86,9.53,7.72,5.21,0.46,0.42,0.38,0.33,0.29,0.25,0.21,0.17,0.15,0.13,0.11,0.08,0.08,0.46,0.38,5.78,,,27.40
PTH2,YBL057C,74.16,75.39,77.08,79.05,82.31,84.17,85.02,83.12,81.77,83.85,89.04,99.54,17.80,15.35,13.00,10.35,7.69,8.98,12.17,16.45,18.21,20.29,23.29,27.86,0.24,0.20,0.17,0.13,0.09,0.11,0.14,0.20,0.22,0.24,0.26,0.28,0.09,0.28,0.19,3.00,,,27.40
