Feature,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,p7.8/t7.8,p10.7/t10.7,p14/t14,p17/8/t17.9,p22/t22,p26.8/t26.8,p32.2/t32.2,p38.4/t38/4,p45.5/t45.4,p53.3/t53/3,p62.2/t62.2,p72.3/t72.3,min p/t,max p/t,range p/t,max p/t / min p/t,,,buds
YOL057W,YOL057W,37.92,37.61,37.03,36.36,34.71,34.50,34.38,34.29,34.02,34.14,34.64,35.87,11.86,12.23,12.79,13.69,15.22,16.08,17.22,18.44,19.81,21.00,21.29,19.91,0.31,0.33,0.35,0.38,0.44,0.47,0.50,0.54,0.58,0.62,0.61,0.56,0.31,0.62,0.30,1.97,,,33.56
SER33,YIL074C,192.56,181.49,168.40,154.72,135.28,128.17,126.70,135.67,132.90,128.31,122.23,114.59,520.82,524.80,532.83,546.64,570.87,604.20,615.57,627.33,648.64,667.04,675.55,667.48,2.70,2.89,3.16,3.53,4.22,4.71,4.86,4.62,4.88,5.20,5.53,5.83,2.70,5.83,3.12,2.15,,,33.40
MET22,YOL064C,116.55,113.93,110.95,107.97,104.01,102.90,102.75,103.21,103.85,107.20,113.66,124.79,181.48,180.96,178.79,174.30,164.49,153.15,144.88,138.49,136.76,135.01,135.83,139.92,1.56,1.59,1.61,1.61,1.58,1.49,1.41,1.34,1.32,1.26,1.19,1.12,1.12,1.61,0.49,1.44,,,33.40
YLR118C,YLR118C,46.42,47.65,49.70,52.17,57.46,58.82,59.30,59.03,56.74,54.33,50.91,46.35,8.83,9.26,9.73,10.28,10.79,11.94,11.86,11.80,12.82,13.11,12.66,11.12,0.19,0.19,0.20,0.20,0.19,0.20,0.20,0.20,0.23,0.24,0.25,0.24,0.19,0.25,0.06,1.32,,,33.20
MPD1,YOR288C,18.99,17.68,16.34,15.02,13.48,13.05,13.49,15.25,14.89,15.69,17.51,20.99,15.93,16.67,17.36,18.07,18.58,18.47,17.70,16.54,15.79,15.04,14.38,14.05,0.84,0.94,1.06,1.20,1.38,1.42,1.31,1.08,1.06,0.96,0.82,0.67,0.67,1.42,0.75,2.11,,,33.09
RBS1,YDL189W,55.42,54.85,53.91,52.74,50.29,49.51,48.57,46.68,44.52,45.73,50.47,61.29,5.60,5.56,5.63,5.80,6.12,7.20,8.42,9.36,8.89,8.19,7.62,7.68,0.10,0.10,0.10,0.11,0.12,0.15,0.17,0.20,0.20,0.18,0.15,0.13,0.10,0.20,0.10,1.99,,,33.08
BNA1,YJR025C,173.07,172.34,171.95,170.84,171.51,165.03,159.12,158.71,154.26,149.91,145.42,139.91,318.55,331.74,337.74,336.29,320.35,254.36,209.29,180.05,221.83,227.68,220.15,182.17,1.84,1.92,1.96,1.97,1.87,1.54,1.32,1.13,1.44,1.52,1.51,1.30,1.13,1.97,0.83,1.74,,,33.00
GCV1,YDR019C,582.19,576.12,569.09,561.57,551.07,547.21,543.91,539.81,522.15,509.71,500.52,500.34,713.73,711.31,709.68,708.31,707.92,720.33,722.02,717.83,696.23,676.33,664.93,673.02,1.23,1.23,1.25,1.26,1.28,1.32,1.33,1.33,1.33,1.33,1.33,1.35,1.23,1.35,0.12,1.10,,,32.80
ADE2,YOR128C,268.95,263.10,256.10,248.73,237.65,234.75,233.66,235.29,223.01,212.72,203.09,198.04,1050.70,1046.95,1046.85,1052.65,1074.47,1081.77,1101.48,1121.12,1131.36,1139.24,1133.94,1104.67,3.91,3.98,4.09,4.23,4.52,4.61,4.71,4.76,5.07,5.36,5.58,5.58,3.91,5.58,1.68,1.43,,,32.80
DLD2,YDL178W,66.78,66.93,67.32,67.79,69.45,69.21,67.63,63.03,59.70,57.50,55.98,55.73,18.96,19.82,20.75,21.87,22.94,24.06,24.22,23.66,21.99,20.82,19.52,18.38,0.28,0.30,0.31,0.32,0.33,0.35,0.36,0.38,0.37,0.36,0.35,0.33,0.28,0.38,0.09,1.32,,,32.80
