"ORF","Feature","AvgLife","Slope","GroupRank","H10.7","H14","H17.8","H22","H26.8","H32.2","H38.4","H45.4","H53.3","H62.2","H7.8","H72.3"
"YNL138W","SRV2",11.4,0.122553133943241,9,5.73361231519068,6.11898746052594,6.52664249127697,7.03801076233266,7.27961234108814,7.17551236287886,6.22468355273663,6.43585929566553,6.48443385586953,6.39592879934662,5.39907479685709,6.00699072533212
"YPL225W","YPL225W",27.4,0.129568834063931,9,0.44836644961639,0.422975895791345,0.393475303508539,0.351280930997099,0.347517075092143,0.385693798604641,0.468700953783069,0.586456692225925,0.596542306455557,0.507510201686907,0.469186641168877,0.287148805855878
"YDR483W","KRE2",20.8,0.136135740823808,9,0.169125065475088,0.169800207284694,0.171907058130174,0.176278428947231,0.170677926755387,0.16452502126785,0.16178510852608,0.150642366969346,0.155517801097577,0.169159080981948,0.168616771676347,0.19490378469436
"YDR245W","MNN10",10.1441441441441,0.139647282930771,9,0.13474258626119,0.139940351049475,0.147739955788225,0.16241643913387,0.170005281751877,0.173491920785892,0.174299904434695,0.165182131566284,0.155812444513035,0.145494190119235,0.131226122955644,0.1364248281268
"YMR115W","MGR3",31.4,0.140299948938408,9,0.101109083892238,0.0952444422391577,0.0879989829545018,0.0717379600471191,0.0810182559371379,0.0868937958789171,0.0915533132741793,0.0892598547021851,0.0942319181993072,0.0983208390846721,0.105258770499321,0.101044906240911
"YDR486C","VPS60",28.2209302325581,0.148423190134837,9,0.229412308315746,0.202915391747896,0.174189475202856,0.138956572254615,0.149479256607923,0.172461380592098,0.23331404664618,0.330741869744256,0.33955757974335,0.265402739573376,0.254758866882525,0.116983776445249
"YER019W","ISC1",13.0888888888889,0.156154196031718,9,0.168233572892627,0.169273880158031,0.172342238245043,0.177246615769986,0.188522028976388,0.19228272088106,0.167350089470497,0.1482272570976,0.149865812744526,0.161548924223215,0.16801532488814,0.215223291921709
"YJL115W","ASF1",9.04166666666667,0.160577142185598,9,1.65676466789358,1.70239624843567,1.75596538631512,1.80319084451858,1.79201159417046,1.73181305711389,1.78227120849371,1.98506123680229,1.98552561360587,1.83358924445805,1.60753458539053,1.48115215449163
"YEL015W","EDC3",29.8,0.168264748166922,9,0.0907609537937329,0.104556480641255,0.123894275901122,0.153329891065289,0.165509425628936,0.164305165621363,0.143469587057716,0.126827150663674,0.118635083688371,0.113833901190274,0.0796750711935773,0.116891534201033
"YPR060C","ARO7",19.4,0.169261585534211,9,1.09825079396258,1.12628029872804,1.174926003395,1.29524763330676,1.38623023155862,1.35490631213183,1.19168599958808,0.964085395030583,0.904630765845189,1.01665309137493,1.08836447723952,1.65471337838839
"YDR335W","MSN5",30.16,0.185857855879808,9,1.3131531756032,1.35831386857447,1.38614509795028,1.35214655087657,1.23492330681767,1.15718909932284,1.06792989098959,1.11922782720464,1.20635074823565,1.35243425869737,1.24674621425104,1.58491422281031
"YGR184C","UBR1",21.2,0.186221394182975,9,0.893337111517195,0.869285222091548,0.842740679059628,0.799994331403296,0.791994191270416,0.77837728925226,0.777014718531342,0.73912053177051,0.775520878667301,0.868290692293706,0.908219375376917,1.05716449027431
"YIL038C","NOT3",25.4,0.19109717042301,9,0.974540186023842,0.995292742419692,1.01453980133393,1.05353236263339,0.96836923585938,0.907853929161052,0.912054281194787,1.05978264375621,1.12658017654633,1.10461935601763,0.954649109454502,0.902840033597988
"YMR054W","STV1",26,0.19326127081169,9,0.38293646386253,0.376932209072057,0.372474416840155,0.366562717275877,0.366507061251237,0.358107458979417,0.329857554299092,0.323114155135645,0.333683099582135,0.372397420498531,0.387835764538011,0.472564863954047
"YPL105C","SYH1",30.3764705882353,0.194046241154954,9,0.124820089826024,0.136913786585822,0.151975062609299,0.172826079135988,0.198667279207921,0.206718298625146,0.198692468922261,0.155523614579385,0.130918901187047,0.129979636794843,0.115344797805979,0.177388354903875
"YDR368W","YPR1",30.8,0.207026177253516,9,6.18410249028769,6.41450051137235,6.68636532663982,6.73034800655766,7.26524660265708,7.58005496790382,8.05675372830795,9.48897843262039,8.93018863049404,7.04649543970243,5.92964346662945,NA
"YDR368W","YPR1",30.8,0.207026177253516,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.02181064936932
"YMR243C","ZRC1",32.6,0.217854986760555,10,0.327177357305352,0.331755986126999,0.337897830765286,0.346834176430086,0.349722600519855,0.36056976409586,0.371435900305768,0.364253424346509,0.35910768815564,0.344809325980994,0.323545063429636,0.318644126193735
"YDR063W","AIM7",23.8,0.220128998940954,10,0.717664963592876,0.775803054107046,0.84222896746012,0.935421790721697,0.946898134769493,1.03509817645041,0.999119366519618,1.23657518487771,1.20009040195371,0.945796123169622,0.666574045417065,0.544338319628753
"YGR210C","YGR210C",25,0.230987353956151,10,0.3177337086532,0.327218485138849,0.340967475920254,0.379297362050402,0.411878901570941,0.404559165879323,0.382698737628039,0.359436315962168,0.349229062068496,0.345935132233499,0.314916158091571,0.35418950748324
"YNL104C","LEU4",25.4,0.232584109566458,10,1.66209488068696,1.66128600293831,1.66866512882964,1.63366843040125,1.67035263607525,1.67377319406691,1.62864874872675,1.58429792299046,1.59825366799459,1.64987159044016,1.65136636346709,1.79122900392572
"YDR452W","PPN1",21.8,0.24822964411609,10,0.464705672104023,0.501583070360146,0.537660596944424,0.557895326179521,0.518568510151041,0.484747269115058,0.450799404648715,0.654933244532272,0.746132212337847,0.66516697431048,0.42523449313209,0.344516959682155
"YKL080W","VMA5",6.28947368421053,0.255303496487125,10,2.64411185439028,2.77849962215694,2.95459242149722,3.24758392794584,3.35872545978645,3.375067572223,3.30480401667689,3.26488390219849,3.17653779986061,3.00843857354969,2.53885700984031,2.74063983571261
"YNL085W","MKT1",25,0.259492241244955,10,0.153925761313293,0.142391740593432,0.126483925356411,0.105224199414588,0.10140621420544,0.108619544926993,0.12091238412509,0.123066022415134,0.13340880062466,0.152600757947841,0.164277992421053,0.182424519362707
"YFL021W","GAT1",24.8023255813953,0.26524060109056,10,0.0471177419920217,0.0463897678384732,0.0440002304488371,0.0378164214496493,0.0259570640373229,0.0265660169099306,0.0341841845381716,0.0578354845858218,0.0682282620311397,0.0643453356535383,0.0464646193555678,0.0344231261253931
"YHR045W","YHR045W",22.6,0.271026256769463,10,0.193755129360668,0.183078193859821,0.173240240689737,0.166587912098985,0.196282338638149,0.220998911988477,0.255635603125095,0.247767748869241,0.232774681144574,0.207668890538307,0.207155018626912,0.175401478036804
"YHR114W","BZZ1",20.8,0.273065220003152,10,0.138756817360471,0.125259998403465,0.100214533748029,0.0522772550819409,0.0234128279155064,0.016958655535708,0.0330883679383076,0.0807069794671363,0.123897762261648,0.163644467715193,0.147558809286528,0.185466894697274
"YHR041C","SRB2",16.6666666666667,0.277086236235146,10,0.192126331924152,0.193273780415536,0.196328496428379,0.204617345155653,0.215656664604234,0.221264220818986,0.211139882674704,0.205085390714131,0.203054937422833,0.201262755548347,0.19241144315917,0.200218305622065
"YDR005C","MAF1",28.0348837209302,0.282047638451612,10,0.0921573245401832,0.0955298944447066,0.0979771746102352,0.0961273299210138,0.0774492576508412,0.0615929944178535,0.0457885450608625,0.0588608694691446,0.0734831945439023,0.103650590229853,0.0867118670921989,0.153861543262111
"YHL034C","SBP1",21.2,0.284556581429574,10,0.760298846882088,0.661215773116115,0.53659668254619,0.389884488069841,0.415024350730261,0.449601400626138,0.533989142002874,0.644820745162539,0.696271681196727,0.772932848400728,0.85082869768576,0.865613755033949
"YDL101C","DUN1",19.75,0.291124536301657,10,0.170403462756896,0.168593283385204,0.166576224091025,0.16061851140747,0.154535002711364,0.144262857427745,0.135535090715136,0.107925542987877,0.118741384146353,0.167418965894713,0.170257952662297,0.293281630411695
"YER017C","AFG3",12.5824175824176,0.297065057535164,10,0.301011254054897,0.299071345167974,0.295046266041865,0.276213219592054,0.268892309328671,0.243947451661323,0.206296573288616,0.191740762531359,0.215879126869772,0.2797390281434,0.297167753271073,0.544819075753296
"YJR010W","MET3",31.5058823529412,0.302603124550499,10,10.7206328479999,12.7598432046879,16.2073620421044,27.082932097598,43.1090129546248,51.6641687538141,25.8012510662353,22.0289562980012,21.742364146337,23.0401557693761,9.51956268431072,27.9007080767752
"YNL243W","SLA2",7.4,0.303458991024695,10,2.39147432713695,2.16422638068706,1.9021953287496,1.69556231554647,2.11180026617542,2.27206874902042,2.10340322658269,1.84724813572326,1.89718599260118,2.19003072926554,2.64441154511094,3.41457544487911
"YER014W","HEM14",36.7833333333333,0.304076320890168,10,0.194787726528844,0.206804055157175,0.220536819202386,0.235298319224761,0.23231400891934,0.225891945292704,0.23299587944355,0.332144566592129,0.35580549541504,0.288058679973582,0.18320185409002,0.137640992838564
"YCL009C","ILV6",23.6,0.304928987396506,10,0.617567708556525,0.630440965105565,0.654422210204133,0.692696428447197,0.820144181790536,0.842765887783132,0.81957518454379,0.678905553036876,0.610865579532742,0.632241856270637,0.614444897020381,0.824025938293717
"YML106W","URA5",32.2,0.315048014752841,10,0.594556835255555,0.614654505407052,0.642318093729154,0.685517738002761,0.728946880814929,0.747485106058291,0.748850172595407,0.699023533831585,0.655743878621596,0.634687169579858,0.580229181141503,0.666079208371348
"YNL169C","PSD1",13.9322033898305,0.322532032694251,10,0.273841189433516,0.264412502095852,0.257996972454554,0.247818958782781,0.2643260988194,0.273485810160274,0.282738927949312,0.264213221855981,0.253631606688765,0.260243951143328,0.282496388079758,0.315598664724235
"YDR158W","HOM2",11.6823529411765,0.326661448542739,10,2.35030373096242,2.43124424743008,2.53705382934166,2.67680465925537,2.75867470593743,2.82911009968991,2.84777239661606,2.81783683851648,2.72520985432821,2.59073316161902,2.28111243952165,2.42254022764927
"YJL183W","MNN11",27.6666666666667,0.329653046697965,10,0.187930538902592,0.187867285134782,0.190601338636801,0.197962874500386,0.209318320355263,0.229457734449022,0.25228364938142,0.242549741794569,0.229142738561169,0.208994479802346,0.18993312629982,0.183935165379442
"YOR091W","TMA46",32.4,0.329761150649067,10,0.605191566410663,0.607759449720559,0.613350585461874,0.642544988272497,0.667583948080167,0.669428493619012,0.667083556502421,0.602720461401277,0.588552645726238,0.610208893904477,0.609656164266143,0.708199003765347
"YER070W","RNR1",24.125,0.331288058327021,10,1.76342320260421,1.73806047626875,1.69883022433592,1.6431208545219,1.63068444360971,1.65992564849322,1.6578952673704,1.61638773173285,1.69456498392434,1.79786339613717,1.7855100041193,1.91756473064971
"YKL212W","SAC1",15.8947368421053,0.334310104609777,10,2.32701768416759,2.38285770597713,2.4662557404126,2.61483141946733,2.67548429264772,2.65485232281037,2.60310277735548,2.5206646734683,2.53672638845573,2.52633665322506,2.28866464364084,2.44806111130612
"YOL052C","SPE2",24.4,0.339274357654579,10,0.235143277489975,0.243524709060836,0.25621228509889,0.276135397885207,0.298960655956293,0.31202212471347,0.29915233357213,0.246422891452174,0.224057153423045,0.235423833545208,0.22973389022531,0.342292262539325
"YOR123C","LEO1",25.16,0.342322219353308,10,0.315676332065151,0.282402181567405,0.238982449927554,0.181486734836174,0.16517123672585,0.170874647894749,0.225588899611483,0.315289736952767,0.353762441872766,0.359263713133732,0.344887801537717,0.325634438858785
"YMR129W","POM152",27.4,0.342503079876593,10,0.470570127483157,0.49002456179557,0.518593014140367,0.573055880131623,0.60354323955894,0.61525539971137,0.616996721278394,0.597772695268869,0.587132500601711,0.555608390008373,0.458570254875582,0.492599509481931
"YGR181W","TIM13",21.2,0.342568116163867,10,0.363201410074638,0.370061097785398,0.367347208842546,0.336696269856396,0.29142906783442,0.286958501123831,0.357322808964194,0.589886260259345,0.651443309587811,0.561115417357767,0.348096328975783,0.240522392095683
"YGR180C","RNR4",6.2,0.345081612835581,10,2.42263686732877,2.44040813258596,2.47065031675934,2.48475930483208,2.54332530494942,2.5104860181828,2.67793811325832,2.98822301288235,2.98315421957809,2.73729117946787,2.40405418167209,2.23469688128901
"YIL052C","RPL34B",36.2093023255814,0.347105527445556,10,0.0892780207228601,0.0918371107818826,0.0961380310446783,0.105369078584996,0.106074542937182,0.106443145838978,0.105604515244904,0.100579268046827,0.100811782498475,0.0997456759693818,0.0877456710968672,0.0954368127710985
"YDL171C","GLT1",30.25,0.347574652285268,10,23.3015226251613,23.7807612396116,24.7316448891627,26.8063865589832,29.1588909282417,30.5022812416232,31.1078568892313,28.8172043753488,27.6283402156283,26.2766041942312,23.1756053280572,25.0696429110974
"YEL051W","VMA8",9.6,0.350303707472653,10,0.526611009084724,0.53101073479338,0.539189073095103,0.553466696310101,0.579011465532899,NA,NA,NA,NA,NA,0.524489906116112,NA
"YEL051W","VMA8",9.6,0.350303707472653,11,NA,NA,NA,NA,NA,0.578192825315617,0.563695144917286,0.528758253234344,0.511703594028198,0.5310711966592,NA,0.612760724711644
"YBL007C","SLA1",11.375,0.352633310850414,11,5.33088340451811,5.72758833286602,6.1622112286953,6.84061099760948,6.74012999449764,6.17124443131533,4.84581543167164,4.52654363716682,4.75278686482768,5.79089301302202,4.9979393883553,9.48074618013795
"YHR135C","YCK1",23.4,0.355142909251198,11,0.0491946382097028,0.0477921950591666,0.0458814604546419,0.0423184376760574,0.0416684078410164,0.0591664867612237,0.0767152517523345,0.0877498792123187,0.0820280434549568,0.0657520330163867,0.0503522179568627,0.0369753759314277
"YOL143C","RIB4",12.4,0.359513295696451,11,0.241789998015484,0.242223302354905,0.248073675586245,0.253843446477336,0.301930643675539,0.348663320954835,0.412978520239657,0.408071953489785,0.345758040753592,0.282983611640635,0.244182226013026,0.248314331035375
"YPR145W","ASN1",29.0581395348837,0.36218376355588,11,1.1657761219013,1.1824632694379,1.20317469576801,1.22673236521684,1.21880720635649,1.22110381271991,1.21121645941206,1.24421843153827,1.25250948067664,1.23207416113886,1.1489217708216,1.15879757756204
"YFR047C","BNA6",23.4,0.385681983545946,11,0.477687766687474,0.48421966723124,0.495168585688519,0.505698209563891,0.518663456762118,0.541435945596689,0.557805525461532,0.605106869806952,0.595305852584012,0.548258363860024,0.470383570917452,0.453089711185601
"YBR291C","CTP1",19.4666666666667,0.393347840326998,11,0.220871418602043,0.225734656721625,0.234002166601119,0.246275566296046,0.281672331819912,0.312179962163289,0.328535611394778,0.305549444288077,0.281195861708566,0.256639368114794,0.219160716593547,0.241959546178769
"YMR071C","TVP18",31.8,0.394890021144574,11,0.231032533499523,0.227458907055778,0.222797712786505,0.210448207939967,0.204252517399278,0.205002070637746,0.218049322493662,0.245910076904609,0.254138938453251,0.249432764421885,0.231039597223289,0.22485639304649
"YDL236W","PHO13",29.6,0.406672403796525,11,0.618266441207181,0.631505998137048,0.650098639266644,0.680340092965397,0.715382240302902,0.761324153949924,0.788456438999277,0.798552881553595,0.768399468138293,0.71038135249192,0.609613980115847,0.623087020750659
"YBL102W","SFT2",26.4444444444444,0.407410233611992,11,0.273152907207738,0.269186704266231,0.264390676410809,0.256154495652408,0.243891933844445,0.257460618781259,0.270159875385954,0.311874128236428,0.323160461171371,0.310424817331264,0.275071150060217,0.255536876179716
"YJR144W","MGM101",22,0.410739653320781,11,0.400658904644441,0.404164171577428,0.400449343736186,0.370553088975661,0.37005161490209,0.378128903233732,0.411447776513579,0.416496876176992,0.417282535415308,0.411335848250849,0.393018435590361,0.400687952343382
"YKL140W","TGL1",26.2,0.411116315752453,11,0.541518041699324,0.635624039100847,0.777770766325527,1.0169967362575,1.11027105968807,1.06139780287942,0.800975206718755,0.680538716241759,0.691909773159514,0.793517327073875,0.471261658501439,1.10035779121516
"YML078W","CPR3",25.5,0.422868091454005,11,1.42233050500187,1.28148618494917,1.09830773824222,0.835140762151555,0.727849060887546,0.641575091907527,0.729398896585147,1.27047483049233,1.64707055529828,1.85889103625374,1.53707857682294,1.74119821085486
"YJR066W","TOR1",14.1578947368421,0.431015003748129,11,1.36184454811855,1.47774542299552,1.66155733854214,2.04028808103735,2.48623749410222,2.70027577196595,2.7558348541172,2.51107575478526,2.29987642068278,2.03438224603597,1.29736362256032,1.78640561700379
"YCR090C","YCR090C",27.8,0.436276592167296,11,0.0305428076230118,0.028925837435592,0.0249644149683928,0.016724158177685,0.0160406391937012,0.0217602795502117,0.0341253941970423,0.051780890955303,0.0552916093617499,0.0472828527668647,0.0311665906967698,0.0232765346955722
