"ORF","Feature","AvgLife","Slope","AntiProb","H10.7","H14","H17.8","H22","H26.8","H32.2","H38.4","H45.4","H53.3","H62.2","H7.8","H72.3"
"YNR051C","BRE5",27.0697674418605,-0.873352097626383,0.5,0.0880185006229275,0.0866224558381848,0.0856994454688476,0.0881346445927561,0.0886250158224404,0.0904294136230641,0.0900980419371742,0.0797630188590656,0.0699911710757009,0.0630053822562578,0.090139294426399,0.0614380066655798
"YPL232W","SSO1",27.8888888888889,-0.870188390267941,0,0.102989609246261,0.0940238817408753,0.0843102151719889,0.072789851978209,0.0727465285988529,0.075448727565197,0.0800216543174132,0.0735719510148666,0.066363183584495,0.0603722455170524,0.111529028666643,0.0579428319594847
"YLR354C","TAL1",24.8505747126437,-0.866825665799453,1,5.89452940760811,5.9895279097805,6.09866476279305,6.21968395750031,6.06773244783719,5.85735840107769,5.48390821500285,5.43559753274087,5.32802168285579,5.22280637219065,5.78550953526998,5.11647274635341
"YLR447C","VMA6",3.75806451612903,-0.864320675719837,0,1.6490108752395,1.65279642395126,1.64034587659239,1.58177279816842,1.58202191225989,1.59067480101513,1.61092880483049,1.61110794550436,1.55051470319186,1.45564615766409,1.638918373368,1.33342743638629
"YDR264C","AKR1",19.0549450549451,-0.863116467004955,0,0.599909087406164,0.585806837567995,0.561643100447263,0.50334278892847,0.470244133556719,0.449309440885298,0.429717503918773,0.436527123170219,0.4166106162612,0.411382509925655,0.604837156451936,0.438635805276053
"YLL015W","BPT1",30.9883720930233,-0.862318837619875,1,0.733025282901462,0.700992509485166,0.642593269502276,0.533272049809908,0.458480504891484,0.389109847432735,0.343252478878966,0.345037892596823,0.349012060186015,0.355844968708137,0.74398526481561,0.352743479975202
"YMR099C","YMR099C",23.2,-0.851440944004418,0,3.31168474284701,3.42160716731963,3.51264193257499,3.52695984139125,3.28353032693166,3.14323707777074,2.98667553752535,3.08063691684779,3.03105542675053,2.88835958841119,3.17372936379356,2.57825360227811
"YML008C","ERG6",28.5285714285714,-0.849477434947702,0,5.18958569707876,5.0167274451767,4.77956232389031,4.41942794692616,4.04345696491404,3.74854049808772,3.61697167572398,3.2171196377665,3.07701666872777,3.18869303703901,5.30813749767915,3.78768229592522
"YGR155W","CYS4",24.6666666666667,-0.845790434871546,1,8.53546066751938,8.74593471907639,8.71515720162562,8.60729866633872,7.89428158256661,7.00110364425025,6.28334335688402,4.60757396103794,3.85591304848398,3.95103813617381,8.36771497930422,6.10822147002867
"YNL098C","RAS2",24.8735632183908,-0.84108340811658,0.5,1.17610305734993,1.20178169836831,1.19366621676195,1.14024157391073,1.03006992620692,0.848203180556899,0.582217726907089,0.516164870531115,0.463666333785561,0.484717347466602,1.1403521345081,0.74471186188261
"YJR009C","TDH2",26.6941176470588,-0.816127712937094,1,0.149666567017256,0.149777723021417,0.14818175058388,0.140629485075333,0.142739071072043,0.143352903880835,0.143034084868598,0.150105601457617,0.140724348281544,0.129831599355889,0.148559276408551,0.121277800347658
"YBR078W","ECM33",17.8,-0.815217362375349,0,0.668186969753617,0.601449334186941,0.501382266614866,0.353124614904024,0.233849230430872,0.178653025690584,0.166924923165715,0.235723820297508,0.237272535748451,0.211588024800191,0.718912723364259,0.134440532275691
"YKL113C","RAD27",17.48,-0.806440834889296,0,0.443890662203714,0.46410567294079,0.489024378402864,0.527725257985821,0.508612233920245,0.467842851507426,0.415275331857267,0.366140508551853,0.335995409039535,0.318076754022055,0.425131930078935,0.316231403147987
"YDR226W","ADK1",18.2,-0.764859802923337,0,1.3917366039181,1.30441778717332,1.19115541982027,1.04887994389185,0.914954550441228,0.809600877257654,0.756397584430146,0.817817991647565,0.867180561357609,0.895974930912377,1.46488453014946,0.8628258342222
"YIL094C","LYS12",26.593023255814,-0.759354296066697,1,1.79602944411462,1.81539559002561,1.84401855566162,1.90172227037226,1.93510822329699,1.91922941796939,1.84399195831203,1.72558206743475,1.60634771991532,1.53091437404843,1.78352726577949,1.55199570773021
"YKL106W","AAT1",26.2083333333333,-0.75915156565849,0,0.145661658840427,0.148284756435107,0.152695170214925,0.158913927999878,0.168948423251258,0.172275376235343,0.166488959281215,0.138468932423804,0.111147763002132,0.0862656266375727,0.143799708959106,0.0696118640779608
"YBL087C","RPL23A",35.1279069767442,-0.747786911966883,1,0.712233372960249,0.699172783825601,0.673628514865175,0.624960399254203,0.576992101533502,0.548562225870919,0.506050188356412,0.439478847869425,0.425112707532285,0.459949584429229,0.718464221796883,0.600539183320485
"YDL066W","IDP1",14.9550561797753,-0.734406468678378,1,6.4788915778264,6.44614320299247,6.4290356446856,6.40473274770231,6.49203355062273,6.58153189480142,6.65786486825979,6.29370448946988,6.05651242070689,5.95390743371994,6.51059619501989,6.13045868726564
"YGR270W","YTA7",22.55,-0.734259622667345,1,0.31373366091603,0.327572660534598,0.33681561740833,0.33106578440736,0.346425781091016,0.342045240484517,0.320833504072511,0.277083090065666,0.237589095227912,0.222184191104343,0.297781932343258,0.263901868667642
"YGR078C","PAC10",21.7777777777778,-0.719650036451648,0,0.440608869993105,0.380300911973546,0.293941386541985,0.178903088384288,0.127384976579615,0.0956070540552202,0.0924399539774985,0.0932864330998777,0.106408977064323,0.130495046907865,0.494462651816325,0.157138364098879
"YNL016W","PUB1",20.08,-0.685989483405765,0,1.48168393477134,1.47731729695545,1.43838369883665,1.33845420121348,1.13434794291981,1.05411511906603,1.03822443905634,1.24920376848613,1.30290781699708,1.25134856411382,1.46561223161504,0.965511116859861
"YPL112C","PEX25",22.6,-0.674258503713704,1,0.0448604555216247,0.0425507806639292,0.0410814798698045,0.0416928425263684,0.0411492474022598,0.0424481159318909,0.0455914184026936,0.0439270307774197,0.0416127215623376,0.0390836374292229,0.0476398415011687,0.0365592689230054
"YOR209C","NPT1",18.0666666666667,-0.639965897879321,0,1.29743051905538,1.3005500113699,1.29601660749607,1.28299381725835,1.19160306177621,1.1135316258862,1.0749951041531,1.02704251280679,1.037348047999,1.09519550522386,1.28846980311741,1.2344777707055
"YCR088W","ABP1",28.1882352941176,-0.615454907279319,0.5,16.1352396801363,14.73182617997,12.2698565885699,8.1552374511578,6.81690700700024,6.46220917371366,6.60293707866237,7.787521685513,8.39351097079253,8.96390043208964,17.1172558902656,8.98380875784368
"YGL252C","RTG2",27.5172413793103,-0.605358327146501,0,0.904991400462466,0.904100836777972,0.90012119863012,0.858837476989019,0.808289242756717,0.856545073007161,0.910194143039408,0.936384517558475,0.886567802727307,0.805553573854266,0.894121911100678,0.695766984425973
"YER178W","PDA1",15.3010752688172,-0.595284869253904,0,2.40511692340443,2.38332918478376,2.34561299932745,2.24772271216692,2.24376089540711,2.26208510805677,2.21437369060582,2.26902028590056,2.19053195551163,2.19711712624696,2.40982266349241,2.3354671600299
"YBL027W","RPL19B",20.6091954022989,-0.592566524557631,1,1.52716375547581,1.55990363937589,1.60260811727012,1.67907905837012,1.62288343303069,1.58053687706025,1.54158105341582,1.49522988981682,1.47980345895945,1.46794366943606,1.49833846590093,1.44893568328769
