Name	RLS
amn1	"50,55,44,29,12,45,42,34,22,18,20,10,37,25,26,11,10,43,26,19,47,42,8,45,42,27,35,30,24,36,45,32,8,45,42,20,45,45,21,48,36,35,48,10,35"
ams1	"17,26,18,12,12"
anb1	"7,21,21,44,43,23,21,25,16,21,27,14,19,29,24"
anp1	"17,30,21,27,27,27,21,18,27,22,22,18,33,16,23,31,41,16,25,15,34,16,24,26,14,21,10,21,31,22,27,34,19,24,18,31,39,23,35,16,19,26,36,26,31,23,14,32,18,28,14,18,7,25,20,19,31,22,31,20,26,18,29,36,21,29,26,24,26,18,21,25,36,17,25,41,32,36,31,24,3,7,6,3,9"
ant1	"36,22,22,25,12"
apa1	"29,14,21,30,15"
apa2	"22,36,28,17,19"
apc9	"38,34,57,26,40,32,14,18,24,19,32,32,26,19,43,7,8,45,32,49,20,9,35,11,8"
apd1	"40,32,20,31,28"
ape2	"27,24,28,18,24"
ape3	"23,26,17,28,19"
api2	"57,18,17,28,36,19,3,26,31,24,24,23,40,13,2,17,26,17,18,30,37,30,56,34,30"
apj1	"33,21,23,33,30"
apl1	"33,13,26,38,18"
apl2	"16,26,17,16,19"
apl3	"22,27,14,18,14,22,27,14,18,14"
apl4	"17,20,20,17,26"
apl5	"29,32,32,26,14"
apl6	"43,34,33,43,27,19,26,16,15,28,30,16,10,23,23,20,5,15,25,22,25,17,27,20,20"
apm1	"17,37,30,14,29"
apm2	"18,17,19,21,31"
apm3	"33,39,29,36,21"
apm4	"15,21,48,3,33"
apn1	"5,5,16,13,9"
apn2	"32,38,11,38,28,25,27,17,48,23,14,19,39,38,10,32,38,11,38,28"
app1	"29,39,27,24,30"
apq12	"21,30,10,25,33"
aps1	"37,6,14,17,24"
aps2	"34,35,40,29,20"
aps3	"20,30,15,36,12"
apt1	"25,29,27,42,25"
apt2	"49,20,22,28,29"
aqr1	"19,25,16,20,16"
aqy1	"31,30,45,36,34,28,22,24,12,28,32,29,19,31,47,43,24,37,25,43,17,33,19,30,37,31,12,25,32,35,25,33,20,27,20,50,31,32,37,21,27,32,30,27,27,37,20,35,45,30,20,30,26,18,42,35,30,58,23,18,25,29,41,17,16,19,28,8,32,17,14,16,32,24,36,15,3,9,15,14,6,25,19,11,7,6,30,"
aqy2	"27,35,35,19,56"
ara1	"30,32,17,18,22"
ara2	"33,37,23,27,19,33,37,23,27,19"
arc1	"27,17,17,37,25"
arc18	"13,7,39,15"
ard1	"18,17,19,21,31"
are1	"48,49,53,10,34,28,24,27,21,32,24,26,29,33,31,20,18,17,13,27,33,33,25,33,31"
are2	"27,32,28,51,6"
arf1	"37,28,38,21,37"
arf2	"39,13,33,33,27"
arf3	"46,38,19,29,31"
arg1	"9,29,27,29,48,37,16,21,33,26,40,26,35,24,32,52,13,21,38,47,34,33,31,31,26,39,26,26,23,33,23,20,21,4,25,25,20,39,21,18,6,35,36,33,37,34,36,36,22,23,33,42,32,47,34,12,21,38,25,37,39,47,27,38,26,27,33,43,18,48,37,48,23,39,31,44,30,42,43,34,37,15,20,8,21,38,3"
arg2	"17,10,21,13,19,13,16,13,20,14,26,23,11,11,17,22,4,19,8,12,16,32,34,35,18"
arg3	"32,32,33,13,10"
arg4	"19,21,30,14,3,11,29,20,20,21,20,31,21,21,15,19,14,24,26,22,19,11,31,20,17,16,18,21,18,14,19,38,28,20,17,28,18,29,18,17,5,24,41,1,20,16,22,23,8,15,20,13,12,18,15,18,12,23,27,25,14,22,25,32,22,19,23,23,16,16,18,19,24,19,9,16,29,21,30,17,13,6,18,16,17,21,15,"
arg80	"28,41,21,25,25,28,41,21,25,25"
arg81	"21,35,33,27,33,48,36,13,48,11,26,41,29,33,27,33,26,28,26,38,36,34,29,25,39,31,23,40,35,4,27,38,27,33,31,32,44,24,5,39,41,35,21,29,30,23,9,33,19,31,23,37,36,23,26,23,15,28,37,16,41,35,21,29,30,23,9,33,19,31,23,37,36,23,26,23,15,28,37,16,19,24,29,36,16"
arg82	"39,24,14,13,24"
ark1	"16,46,39,26,47,20,44,22,48,24,26,21,15,12,11,22,45,21,20,19,25,31,29,28,29,21,27,16,23,20,23,24,22,16,15,20,18,21,17,15,22,28,23,18,16,46,39,24,23,32,25,46,28,49,30,31,24,54,24,36,18,30,36,19,30,30,19,25,23,17,25,15,26,31,28,25,23,11,11,18,28,28,21,20,25,"
arl1	"29,35,42,21,27"
arl3	"12,51,25,27,12"
arn1	"18,17,19,21,31"
arn2	"18,17,19,21,31"
aro1	"20,38,14,17,20"
