ORF,H7.8,H10.7,H14,H17.8,H22,H26.8,H32.2,H38.4,H45.4,H53.3,H62.2,H72.3
YGR152C,12.09615333,11.29787929,10.49365856,9.530460548,8.433027419,8.363550008,8.011655643,8.391230103,9.852450043,11.43943173,11.8439455,9.76560732
YGR155W,2083.271732,1991.313723,1865.379501,1675.733569,1367.41748,1199.815308,1065.484525,957.2414831,831.6824501,727.1315466,721.094596,887.0803824
YGR157W,72.19868788,73.64772617,75.56933837,78.47315148,83.71369819,86.03441943,83.46084512,77.83909229,70.0072969,69.48621148,74.04511281,86.58887942
YGR159C,836.6137221,835.7223992,815.4855787,774.4862191,693.0012081,520.2375295,437.6636151,383.5540121,436.6231828,424.5866234,400.6384911,349.1689169
YGR162W,405.5777407,385.5984207,360.6630904,326.3596511,277.6031043,243.4100207,222.3840796,207.2108232,189.283905,172.513238,164.7572855,171.1929676
YGR165W,10.88516232,11.35609859,11.80741274,12.22309439,12.2203339,12.86602056,12.91423273,13.01447979,13.65768176,14.39624078,14.87184406,14.84214922
YGR173W,22.85630365,22.61301363,22.39223031,22.2118542,22.20845506,21.99620412,22.62873584,23.50334105,24.36309763,25.40084791,26.88239782,28.97939005
YGR175C,151.7025356,153.6131878,158.5881633,167.5549802,183.6331208,213.0841478,221.4535146,219.7123582,195.4423297,192.9590975,205.3970374,245.1924311
YGR180C,769.2196605,796.6291545,833.7000114,886.4594891,960.9053871,1045.996529,1073.024957,1119.943093,1256.742852,1355.578831,1413.438013,1397.375987
YGR181W,40.4874238,41.58523595,41.97328173,41.50964666,38.9878846,34.05221478,33.47232131,39.34229687,64.95236137,72.96672216,64.75354765,28.77258948
YGR184C,9.217258363,9.159120789,9.196230275,9.363079948,9.836862242,10.39438168,10.68717891,10.70135587,9.920474957,10.19122101,10.88987477,12.20700589
YGR185C,423.7229588,430.9087946,436.1919181,439.1970187,432.9998199,430.3627844,421.7961408,406.8450476,379.8959056,354.7051758,341.0208787,352.0654873
YGR186W,27.93469123,29.2601674,30.64790791,32.21526721,33.59538796,34.9394351,35.74656149,36.04236373,35.68064979,33.05619316,27.81648909,19.02282827
YGR187C,91.22764026,97.38788409,103.6850288,111.2873881,120.5297864,117.6481403,112.0220865,105.3349587,107.67634,111.1192495,111.4250825,104.3693526
YGR189C,130.2091185,128.8795615,128.5302925,129.724681,135.5539504,134.4307389,141.4873641,153.5292285,172.9728951,190.982564,198.7340312,185.3727474
YGR192C,20574.43727,20743.69752,20990.18992,21339.4095,21783.43101,22778.60658,22684.69424,22730.41171,23740.79742,24882.83248,26104.2739,27351.24015
YGR193C,178.3088056,176.8183384,173.0744658,166.9589453,158.2874695,131.1769712,114.951695,104.7823652,116.8345009,113.3497856,99.59328647,65.80706513
YGR195W,5.83750202,6.018661094,6.14478612,6.230662179,6.192080395,5.828348787,5.531965603,5.384419013,6.164222526,6.410638764,6.340044469,5.715399798
YGR200C,35.94715766,36.5898883,36.91027935,36.90893562,35.50436016,34.21709417,33.17972794,31.99421358,30.94899449,30.01289262,28.8909103,27.69188466
